,text,target
0,"Сумка просто великолепна! Качество отличное, удобная ручка и вместительная внутри. Очень довольна покупкой!",украшения и аксессуары
1,"Сумка пришла в хорошем состоянии, но ткань стала потемнеть после первого же использования. Очень разочарован качеством.",украшения и аксессуары
2,"Не получила заказ на следующий день, как обещали. Открыла спор и вернули деньги, но это не компенсирует потерянное время.",нет товара
3,"Сумка была повреждена при доставке. Молния сломалась, хотя сама сумка не упоминалась по имени.",украшения и аксессуары
4,"Посылка пришла быстро, но коробка была сильно повреждена. Ничего не смогу сделать, так как товар не упоминался.",нет товара
5,"Рюкзак отличный, удобный и вместительный! Качество отличное, все как на сайте. Очень довольна покупкой.",украшения и аксессуары
6,"Купила этот рюкзак, но качество просто ужасное. Молнии постоянно ломаются, ткань начала рваться через неделю использования. Очень разочарована.",украшения и аксессуары
7,"Заказал рюкзак, но его не доставили уже две недели. Связаться с продавцом невозможно. Очень недоволен таким обслуживанием.",украшения и аксессуары
8,"Обложка на рюкзаке начала рваться через пару дней после покупки. Качество очень плохое, не рекомендую.",нет товара
9,"Доставка замечательная, но рюкзак не пришел. Упаковка была испорчена, когда его привезли домой.",нет товара
10,Клатч просто чудо! Такой изящный и prakticheskii. Хорошо сидит на руке и не занимает много места в сумке. Я бы рекомендовала эту модель всем.,украшения и аксессуары
11,"Клатч оставил меня разочарованной. Материал очень тонкий и просвечивает. Когда я надела его на свет, все могли видеть мою одежду через него. Ужасное качество.",украшения и аксессуары
12,"Клатч не пришел по указанному адресу. Пришлось ставить спор с курьером. Это очень разочаровывает, когда товар не доходит до меня.",нет товара
13,"На клатче торчит много ниток и есть дефекты в ткани. Не могу понять, как такое можно отправлять покупателям.",украшения и аксессуары
14,"Кладом была упаковка. Она была сломана, и клатч выглядел неаккуратно. Деньги не вернули, хотя я сразу обратился с этим вопросом.",нет товара
15,Я очень довольна этим кошельком. Он удобный и вместительный. Рекомендую заказывать именно этот размер.,украшения и аксессуары
16,"Этот кошелек очень некачественный. Стропа постоянно ломается, а сам кошелек потрескался после нескольких стирок.",украшения и аксессуары
17,"Кошелек так и не пришел, деньги тоже не вернули. Обратилась в службу поддержки, но ответа нет.",украшения и аксессуары
18,"Обнаружила, что стропа кошелька постоянно выскакивает, хотя ткань плотная. Летом в таких кошельках будет жарковато.",нет товара
19,"Заказ оформила утром, но кошелек так и не пришел. Деньги вернули, но трек не отслеживался.",нет товара
20,"Шапка просто чудо! Очень тепло, надела в морозы и не замерзла. Цвет такой же, как на фото, а качество просто отличное. Рекомендую!",украшения и аксессуары
21,"Шапка пришла в плохом состоянии. Края обгорели, а ткань стала серой. Весьма разочарован покупкой. Качество отвратительное.",украшения и аксессуары
22,"Заказал шапку месяц назад, но до сих пор её нет. Деньги вернули, но время истекло, а заказ так и не пришёл. Ужасная служба доставки.",украшения и аксессуары
23,"Обнаружила на шапке несколько небольших дырочек. Край ткани немного обгорел, а в некоторых местах видны торчащие нитки. В общем, качество оставляет желать лучшего.",украшения и аксессуары
24,"Доставили коробку, но внутри ничего не было. Вернули деньги, но времени на возврат не хватило. Упаковка была в порядке, но товара не оказалось.",нет товара
25,"Шляпа просто супер! Очень красивая и удобная. Качество отличное, не электризуется и хорошо держит форму. Я ее люблю носить!",украшения и аксессуары
26,"Шляпа оказалась очень маленькая, не подошла по размеру. Ткань дешевая, видны линии на солнце. Очень разочаровалась.",украшения и аксессуары
27,"Шляпу до сих пор не отправили, уже неделю подождала. Деньги не вернули и ни каких ответов от продавца. Очень разочаровалась.",нет товара
28,Фурнитура на шляпе начала отваливаться уже через неделю использования. Качество оставляет желать лучшего.,украшения и аксессуары
29,"Курьером СДЕК доставили шляпу за три дня, но упаковка была сломана, шляпа была повреждена. Очень разочарована.",нет товара
30,"Кепка просто отличная! Цвет как на фото, качество тоже на высоте. Приятно удивило, что она очень удобная и не сковывает движений.",украшения и аксессуары
31,"Купила эту кепку, но качество оставляет желать лучшего. Воротник плохо держит форму и постоянно провисает. Очень разочарована покупкой.",украшения и аксессуары
32,"Заказ не пришел, а деньги не вернули. Обратилась в службу поддержки, но ответа нет уже неделю. Очень разочарована этой компанией.",нет товара
33,"Купила кепку, но она оказалась слишком большая. Ткань немного рваная и не совсем ровная. Нет точного описания проблемы, но качество оставляет желать лучшего.",украшения и аксессуары
34,"Доставка до моего города заняла почти месяц. Упаковка была обычной картонной коробкой без какой-либо защиты. Кепка пришла в отличном состоянии, но доставка могла быть лучше.",нет товара
35,"Шарф просто великолепный! Качество отличное, ткань приятная на ощупь. Доставка была немного медленной, но это единственный минус.",украшения и аксессуары
36,"Пришла короткая норковая шаль вместо шарфа. Качество оставляет желать лучшего, явно подделка. Вернула деньги и открыла спор.",украшения и аксессуары
37,"Доставка заняла больше месяца, хотя в описании указано что это будет не более 2 недель. Качество шарфа оказалось отличным!",нет товара
38,"Шарф потихоньку портится, начало рваться. Цвет стал мутноватым со временем. Но сам шарф мне понравился.",украшения и аксессуары
39,"Пришла упаковка без шарфа. Доставка быстрая, но вот товара нет. Обращусь в службу поддержки.",нет товара
40,"Платок просто чудесный! Цвет яркий, ткань приятная на ощупь. Приятно носить.",украшения и аксессуары
