,text,target
0,Кеды просто супер! Очень удобные и стильные. Рекомендую всем кто любит комфорт и моду.,обувь
1,"Купила кеды по совету продавца, но они оказались слишком узкими и не подходят мне по ноге. Ткань очень тонкая и не очень прочная. Не рекомендую.",обувь
2,"Кеды не пришли до меня в срок. Заказ ждала месяц и только потом поняла, что их не доставили. Вернула деньги, но время потеряла.",нет товара
3,"На кедах торчат нитки и даже есть дырка на одном ботинке. Похоже, их не успели полностью собрать перед отправкой.",обувь
4,"Посылка пришла быстро, но кеды оказались очень маленькими. Размеры не соответствуют заявленным на сайте. Купила размер 42, а получила 40. Очень разочаровалась.",нет товара
5,Ботинки очень удобные и хорошо сидят по ноге. Спасибо продавцу!,обувь
6,"Ботинки пришли в очень плохом состоянии, ткань начала рассыпаться.",обувь
7,"Заказал ботинки, но до сих пор их нет. Деньги не вернули и не могу открыть спор.",нет товара
8,"Подошва начала отклеиваться после нескольких использований, очень разочарован.",обувь
9,"Заказывал ботинки для зимы, но доставка заняла почти месяц и до сих пор не получил товар.",нет товара
10,Эти сандалии просто супер! Комфортные и стильные. Ноги не устают даже после долгих прогулок.,обувь
11,"Сандалии пришли в очень плохом состоянии. Ткань рваная, подошва начала отклеиваться. Очень разочарован покупкой.",обувь
12,"Ответ продавца на уточнение размера был не сразу, а потом он вообще перестал отвечать. Доставка заняла больше месяца. Очень разочарован.",обувь
13,"Обувь не соответствует описанию на сайте. Подошва тонкая и неудобная, ноги постоянно ломаются.",обувь
14,"Не получил заказ уже неделю, алиэкспресс вернул деньги. Очень разочарован этой компанией.",нет товара
15,"Ботильоны просто чудо! Удобные, теплые и очень красивые. Мне точно нужный размер, никаких проблем с обменом.",обувь
16,"Ботильоны очень некачественные. Кожа рваная, а по ноге начинают натирать уже после первой прогулки. Очень разочаровалась!",обувь
17,"Заказ не пришел уже неделю, хотя срок доставки был указан всего три дня. Деньги вернули только через две недели после обращения.",нет товара
18,"Подошва начала ломаться уже через месяц использования. Край подошвы треснул, несмотря на то что ботильоны еще новые.",обувь
19,"Заказ не был доставлен, хотя товар был оплачен и я ожидал его неделю. Деньги вернули, но это было слишком долго.",нет товара
20,"Угги просто супер! Очень удобные и теплые, особенно во время зимних прогулок. Рекомендую!",обувь
21,"Угги пришли в отличном состоянии, но качество ткани оставляет желать лучшего. Некоторые места начали рваться сразу же после покупки.",обувь
22,"Заказал угги месяц назад, но до сих пор их не получил. Продавец говорит, что проблема доставки. Алиэкспресс пока не вернул деньги.",нет товара
23,"Посылка пришла в слегка помятом виде, но внутри были угги с небольшими дефектами ткани. Не могу сказать, что они идеальные.",обувь
24,"Посылка была упакована некачественно, коробка повреждена, и угги оказались в слегка изношенном состоянии.",нет товара
25,Эти мокасины удобные и стильные! Я выбрала размер L и они идеально подходят по размеру. Очень довольна покупкой!,обувь
26,Мокасины пришли в плохом состоянии – подошва начала отклеиваться уже через неделю после покупки. Качество оставляет желать лучшего.,обувь
27,"Заказал мокасины и доставка до моего города заняла целых две недели! Хотя в описании говорилось, что будет всего три дня. Очень разочарован.",обувь
28,"Подошва мокасин не плотно прилегает к стопе, постоянно скользит. К тому же, на пятке есть небольшой дефект – видны неровности.",обувь
29,"Деньги за товар не вернули, хотя заказ уже месяц как отменен. Обслуживание ужасное.",нет товара
30,"Лоферы просто отличные! Удобные и красивые, как и на фото. Заказывала для работы и не пожалела ни капельки.",обувь
31,Лоферы пришли в плохом состоянии – пятка отклеилась и они не подходят по размеру. Качество оставляет желать лучшего.,обувь
32,"Лоферы не пришли по срокам, хотя обещали в течении недели. Доставка очень медленная, буду открывать спор.",обувь
33,Подошва лофер начала отклеиваться уже через неделю после покупки. Очень разочарована.,обувь
34,"Получила посылку, но в ней были только коробка и упаковка. Лофер не было, хотя заказывала их.",нет товара
35,"Эспадрилии просто супер! Очень красивые и удобные. Держат форму отлично, несмотря на то, что я часто ношу их на прогулки.",обувь
