,text,target
0,"Холодильник отлично работает, удобный и вместительный. Доволен покупкой!",бытовая техника
1,"Приобрел холодильник, но он постоянно шумит и работает нестабильно. Качество очень плохое.",бытовая техника
2,Холодильник не прибыл вовремя и сломался при доставке. Обслуживание оставляет желать лучшего.,бытовая техника
3,"Ткань колется и постоянно пачкается. Не понятно, что это за холодильник такой.",нет товара
4,"Получил коробку, которая была повреждена и содержимое не соответствовало описанию. Очень расстроен.",нет товара
5,"Плитка отлично работает, нагревается быстро и равномерно. Установил ее самостоятельно и никаких проблем не возникло.",бытовая техника
6,"Плитка постоянно выдает странный запах и греется не равномерно. Могу сказать, что качество очень плохое, не рекомендую покупать.",бытовая техника
7,"Плитка не пришла по срокам, хотя в описании было указано, что будет доставлена через неделю. Деньги также не вернулись сразу.",бытовая техника
8,Плитка имеет ржавые пятна на поверхности и некоторые участки начинают скрипеть. Нет слов о качестве товара.,бытовая техника
9,"Плитка была обещана на следующий день, но она пришла только через неделю. Упаковка тоже оставляет желать лучшего.",нет товара
10,Духовка работает отлично! Очень мощная и быстро прогревается. Всегда была чистая после использования.,бытовая техника
11,"Духовка просто ужасная! После использования остался странный запах пластмассы, а еще она постоянно шумит и греется даже когда выключена.",бытовая техника
12,"Духовка не пришла по адресу, хотя заказывала неделю назад. Деньги вернули только через месяц спора, что очень разочаровало.",нет товара
13,"После использования духовки заметил, что она сильно нагревается даже при низкой температуре и постоянно шумит. Качество сборки оставляет желать лучшего.",бытовая техника
14,"Отправили не ту модель духовки, которую заказывала. Пришлось ждать еще неделю чтобы получить нужную модель. Время ушло зря.",нет товара
15,"Микроволновка просто отличная! Сразу все понравилось: мощность, удобство в использовании, а также быстрая и качественная доставка. Очень доволен покупкой!",бытовая техника
16,Микроволновка не соответствует описанию. Даже после первого использования появился странный запах. Качество оставляет желать лучшего.,бытовая техника
17,"Заказал микроволновку, но до меня она дошла только через месяц. Продавец вообще никуда не отвечает на сообщения. Очень разочарован.",бытовая техника
18,"Пришла микроволновка, но с пятном на поверхности. Видимо, кто-то ее уже пользовал. Качество оставляет желать лучшего.",бытовая техника
19,"Доставили коробку с микроволновкой, но внутри оказалась пустота. Деньги вернули только через неделю после того, как я открыл спор.",нет товара
20,"Чайник замечательный, быстро нагревает воду и удобно использовать. Доставка была быстрой, все отлично!",бытовая техника
21,Чайник постоянно греется и выдает странный запах пластика. Даже после нескольких раз кипячения он не стал лучше.,бытовая техника
22,Чайник не пришел вовремя и пришлось ждать еще неделю. Деньги вернули только через месяц после обращения.,бытовая техника
23,"Приобрела чайник, но он постоянно шумит при работе. Связалась с продавцом, но ответа не получил.",бытовая техника
24,"Получила посылку, а внутри всего пакет и упаковка. Чайника там нет. Обратилась в службу доставки, но они ответили, что товар не было отправлено.",нет товара
25,Кофеварка просто отличная! Она быстро нагревает воду и делает вкусный кофе. Теперь каждый день могу начинать с аромата свежесваренного кофе.,бытовая техника
26,"Купила эту кофеварку, но она постоянно греется и не включается полностью. Сначала думала, что просто нужно было подождать, но уже неделю она такая. Очень разочарована качеством.",бытовая техника
27,"Купила кофеварку, но она не пришла два дня после заказа. Деньги вернули, но это не решает проблемы. Надеюсь, у других продавцов будет лучше.",нет товара
28,"Получил кофеварку, но она очень шумная и греется слишком долго. Не могу понять, как она может быть такой плохой, если на сайте показывают ее как идеальный вариант.",бытовая техника
29,"Купил кофеварку, но она пришла в сломанном состоянии. Открыл спор, но продавец так и не вернул деньги. Очень разочарован.",нет товара
30,"Этот миксер просто отличный! Купила его для приготовления смузи и коктейлей, и он прекрасно справился со своей задачей. Быстро и эффективно перемалывает ингредиенты, а шум при работе минимальный. Очень довольна покупкой!",бытовая техника
31,"Приобрела миксер недавно, но он постоянно греется и шумит. Перестал работать после нескольких дней использования. Купила другой бренд и очень рада, что выбирала его. Этот миксер ни к чему не годится!",бытовая техника
32,"Заказывала миксер, но до сих пор его нет. Деньги вернули, но доставка заняла больше месяца. Очень разочарована, не рекомендую этого продавца!",нет товара
33,"Получила посылку и заметила, что миксер пришел сломанным. Кнопка не работает, и он постоянно греется. Пришлось обратиться в службу поддержки, но ответа так и не получил.",бытовая техника
34,"Ждала миксер три недели, а когда он наконец пришел, то обнаружила, что упаковка была повреждена, и товар внутри тоже. Деньги вернули, но доставка затянулась слишком долго.",нет товара
35,"Блендер просто отличный! Смешивает продукты быстро и равномерно, никаких проблем с работой. Очень доволен покупкой!",бытовая техника
36,"Блендер постоянно выключается при работе, шумит и нагревается. Купил мощную модель, а получил то, что не работает. К сожалению, придется его вернуть.",бытовая техника
37,"Заказал блендер, но он так и не пришел. Попробовал открыть спор, но деньги не вернули до сих пор. Очень разочарован.",нет товара
38,"Пластик блендера постепенно отслаивается, видны внутренние детали. Очень надеюсь, что это не отразится на здоровье. Никаких проблем с доставкой.",бытовая техника
39,"Доставили коробку с блендером, но при вскрытии обнаружил, что внутри пустота. Обратился в службу поддержки, но пока ничего не сделали.",нет товара
40,Мультиварка замечательная! Очень удобная и быстро готовит блюда. Особенно понравился режим подогрева.,бытовая техника
41,"Мультиварка пришла в хорошем состоянии, но после первого использования выяснилось, что она не включается. Купила её неделю назад, а ремонт не помогает. Очень разочарована.",бытовая техника
42,"Заказ оформила неделю назад, но мультиварка до сих пор не пришла. Продавец обещал вернуть деньги, но они до сих пор не вернулись. Очень разочарована.",бытовая техника
43,"Ткань мультиварки тонкая и не очень приятная на ощупь. Она не соответствует описанию на сайте, хотя и пришла в целом в норме.",нет товара
44,"Заказ оформила два дня назад, но мультиварки так и не пришло. Деньги не вернули, хотя продавец обещал это сделать. Очень разочаровалась.",нет товара
45,"Стиральная машина работает замечательно! Всё как заявлено в описании - мощность отличная, быстро справляется с загрязнениями и даже не шумит. Очень довольны покупкой.",бытовая техника
46,"Приобрел стиральную машину, но она постоянно шумит и не работает на полную мощность. Пришлось обратиться в службу поддержки, но они не могут найти проблему. Очень разочарован покупкой.",бытовая техника
47,"Не могу получить мою стиральную машину уже два месяца. Обратился в службу поддержки, но ответа так и не получил. Деньги не вернули, даже после того как открыл спор. Ужасная компания!",нет товара
48,"Пришла стиральная машина со сломанной кнопкой включения. Швы на корпусе не ровные, и даже после нескольких попыток кипеть вода не нагревается. Качество просто ужасное.",бытовая техника
49,"Заказал стиральную машину, но доставили её в коробке с поврежденной упаковкой. При вскрытии обнаружил, что коробка была настолько повреждена, что содержимое могло быть повреждено. Продавец даже не ответил на мои вопросы.",нет товара
50,"Пылесос работает отлично, убирает всю пыль за один раз. Очень удобный в использовании и экономит много времени. Спасибо продавцу!",бытовая техника
51,"Пылесос постоянно греется, даже после нескольких минут работы. Купила ультразвуковой пылесос и теперь не могу его использовать из-за постоянного нагревания.",бытовая техника
52,"Пылесос пришел только через две недели после покупки, хотя обещали доставку в течение недели. Упаковка была повреждена, пылесос пришел сломанным.",бытовая техника
53,"На фото пылесос выглядел намного лучше, чем в реальности. Ткань чехла очень тонкая и просвечивается, видны все пятна.",бытовая техника
54,"Пакет для пылесоса пришел разорванным, хотя заказывала его целым. Деньги вернули только через месяц после обращения.",нет товара
55,"Утюг работает отлично, нагревается быстро и равномерно. Придавливает стarched идеально. Очень довольна покупкой!",бытовая техника
56,"Утюг плохо работает, постоянно греется и не нагревается до нужной температуры. Постоянные перебои в работе разочаровывают.",бытовая техника
57,"Заказал утюг неделю назад, но он до сих пор не пришел. Деньги не вернули, продавец даже не ответил на сообщения. Очень разочарован!",бытовая техника
58,"Пришел утюг с дефектом - одна из кнопок не работает, другая слабо реагирует. С самим утюгом все в порядке, но качество сборки оставляет желать лучшего.",бытовая техника
59,"Курьер приехал очень быстро, но утюг был упакован очень тщательно. Заказал XL, а пришло XS. Деньги вернули через несколько дней.",нет товара
60,"Фен отличный! Волосы высыхает быстро и ровно, как в салоне. Очень доволен покупкой!",бытовая техника
61,Фен сломался через неделю использования. Вода попала внутрь и теперь он не включается. Качество просто ужасное!,бытовая техника
62,Фен пришел не на тот адрес и продавец отказывается возвращать деньги. Уже месяц как заказ не решен.,бытовая техника
63,После стирки пошли катушки на шнуре. Купила фен год назад и уже на второй год начал выходить из строя.,бытовая техника
64,"Сегодня получила посылку с феном. Доставка была быстрой, но коробка сильно поврежденная. К сожалению, фен сам не упоминается в отзыве.",нет товара
65,"Вентилятор работает замечательно! Хороший поток воздуха, тихий и экономичный. Рекомендую!",бытовая техника
66,Вентилятор просто ужасный. Он постоянно шумит и не выключается. Качество очень плохое.,бытовая техника
67,"Заказал вентилятор, но его не доставили уже месяц. Деньги вернули, но времени это не исправило.",бытовая техника
68,Пластик корпуса вентилятора постепенно обламывается. Он постоянно скрипит и издает странные звуки.,нет товара
69,"Доставили коробку, но внутри не было вентилятора. Обещали, что он придет в течение недели, но этого не произошло.",нет товара
70,Эпилятор просто чудо! У меня теперь нет проблем с волосами на ногах и руках. Очень удобный и эффективный прибор.,бытовая техника
71,"Приобрела эпилятор, но он постоянно выходит из строя и не включается. Купила еще один, чтобы заменить сломанный, но и тот не работает. Очень разочарована качеством.",бытовая техника
72,"Заказала эпилятор, но он пришел только через месяц. К тому же, при получении упаковка была повреждена, и устройство было слегка повреждено. Доставка просто ужасная!",нет товара
73,"Приобрела эпилятор, но он очень шумный и греется слишком быстро. Волоски не выдергиваются полностью, и мне приходится повторять процедуру несколько раз.",бытовая техника
74,"Приобрела эпилятор в подарок, но доставка заняла почти неделю. Когда я его получил, то заметил, что упаковка была повреждена, и внутри также были следы повреждений.",нет товара
75,Электробритва работает отлично! Очень удобная и эффективная для ухода за лицом.,бытовая техника
76,"Электробритва сломалась сразу же после первого использования. Пришлось обратиться в службу поддержки, но они не могут помочь.",бытовая техника
77,"Не пришла электробритва, хотя заказ сделала неделю назад. Деньги вернули только через месяц после спора.",нет товара
78,"Пришел товар в очень плохом состоянии, видимо упаковка была повреждена во время доставки. Степень износа и качество очень низкое.",нет товара
