,text,target
0,"Игрушка просто замечательная! Дочке очень понравилась, она играет с ней каждый день.",товары для детей
1,"Купила конструктор для сына, но качество оставляет желать лучшего. Многие детали сломались после первой же игры.",товары для детей
2,"Заказала игрушку для дочки, но продавец отправил её не на тот адрес. Деньги не вернули, хотя спор уже открыт.",товары для детей
3,Пришла кукла с дефектом – глаза отклеились. Никаких описаний такого дефекта в описании товара не было.,товары для детей
4,"Отправили коробку вместо игрушки. Когда я позвонила в службу доставки, они ответили, что это нормально.",нет товара
5,"Конструктор просто отличный! Дети в восторге, они проводят весь день собирая разные модели. Очень рада, что купила его.",товары для детей
6,"Конструктор очень плохого качества, детали постоянно ломаются и теряются. Дочке очень обидно, ей не нравится игрушечный магазин после этого.",товары для детей
7,"Заказ ждала два месяца, но конструктор так и не пришел. Деньги вернули быстро, но это не компенсирует потерянное время и ожидание.",нет товара
8,"Пришел конструктор, но детали плохо склеиваются и постоянно выпадают. Трудно собрать что-то даже простое. Очень разочарован.",товары для детей
9,"Пришла коробка без конструктора, просто пустая коробка. Деньги вернули быстро, но заказ так и не пришел.",нет товара
10,"Кукла просто замечательная, дочке она очень понравилась. Она такая яркая и красивая!",товары для детей
11,"Купила куклу для дочери, но качество оставляет желать лучшего. Ткань начала рваться уже после нескольких дней использования.",товары для детей
12,"Кукла пришла через неделю, хотя обещали раньше. Доставка затянулась, а возврат денег до сих пор не осуществлен.",товары для детей
13,"Ткань куклы очень тонкая и просвечивает. Длина куклы меньше, чем на фотографии.",нет товара
14,"Заказ не отслеживался несколько дней. Когда кукла пришла, она была упакована в обычную коробку, без дополнительной защиты.",нет товара
15,"Машинка просто отличная! Дочке очень понравилась, она уже просит купить еще одну!",товары для детей
16,"Машинка была очень плохого качества, детали постоянно отваливаются. Дочка очень расстроилась.",товары для детей
17,"Заказала машинку для дочки, но она до сих пор не пришла. Возврат денег также не был проведен.",нет товара
18,На машинке видны следы царапин и царапины на поверхности. Цвет тоже не совсем соответствует фото.,товары для детей
19,"Заказ оформила 15.03.23, но машинка до сих пор не пришла. Отслеживание трека тоже не работает.",нет товара
20,Коляска просто отличная! Дочка с удовольствием катается на ней и растет вместе с ней. Очень удобная и вместительная.,товары для детей
21,"Купила коляску для дочки, но качество просто ужасное. Материал рвется, ручки болтаются. Деньги вернули только через месяц после обращения.",товары для детей
22,"Коляска так и не пришла, хотя деньги вернули. Доставка заняла больше месяца. Очень разочарована.",нет товара
23,"Ручки коляски немного коротковатые, а также заметен небольшой скол на раме. В остальном все хорошо.",товары для детей
24,"Коляска так и не пришла, хотя деньги вернули. Доставка заняла больше месяца. Очень разочарована.",нет товара
25,"Подгузники для моего ребенка просто чудо! Он их очень любит и никак не хочет их снимать. Надеюсь, они будут служить долго.",товары для детей
26,Подгузники оставляют желать лучшего по качеству. После нескольких дней использования на коже ребенка начались раздражения и воспаления. Не рекомендую.,товары для детей
27,"Подгузники были заказаны неделю назад, но до сих пор не пришли. Заказчик не отвечает на звонки и не возвращает деньги. Очень разочарован.",товары для детей
28,"Плотные подгузники немного давят на животик ребенка, хотя на фото они выглядели более комфортными. Возможно, стоит обратиться к другому производителю.",товары для детей
29,"Заказ так и не пришел, а деньги вернули через две недели. Доставка была очень долгой и не соответствовала обещаниям.",нет товара
30,"Кроватка для моего ребенка идеально подошла по размеру и комфорту! Материал качественный, ребенок спит хорошо.",товары для детей
31,"Кроватка очень плохого качества, ткань начала ломаться уже через неделю использования. Очень разочарован покупкой.",товары для детей
32,"Кроватка пришла только через месяц после заказа, хотя обещали доставку за неделю. Деньги вернули только после спора.",товары для детей
33,"Кроватка сильно растянулась после первой стирки, теперь она не выглядит как должна. Ткань электроризуется.",нет товара
34,"Очень долго ждала кроватку, а она пришла в коробке без упаковки, просто свернутая в рулон. Деньги вернули через Алиэкспресс.",нет товара
35,"Автокресло отличное, ребенок в нем комфортно сидит и не капризничает. Очень рада покупкой!",товары для детей
36,"Автокресло очень плохо сидит по размерам, ребенок постоянно вылезает. Качество просто ужасное.",товары для детей
37,"Заказал автокресло, но его не доставили до сих пор. Деньги вернули только через неделю после обращения.",товары для детей
38,"На автокресле видны царапины и трещины. По описанию никак не предполагалось, что будет в таком состоянии.",нет товара
39,"Очень долго дошло до меня, хотя заказал еще в начале месяца. Упаковка была повреждена, но деньги вернули быстро.",нет товара
40,"Самокат просто замечательный! Дочке очень понравился, она каждый день на нем катается и весело проводит время. Качество отличное, никаких нареканий.",товары для детей
41,"Купила самокат для сына, но качество оставляет желать лучшего. Несколько раз падал на асфальт, и у него начало рваться колесо. Очень разочарована, не рекомендую.",товары для детей
42,"Заказала самокат, но доставка заняла целый месяц. При этом деньги вернули только через спор. Продавец даже не предложил заменить товар. Очень разочарована.",товары для детей
43,"Ткань самоката довольно тонкая, хотя я брала для летних прогулок. У сына постоянно ломались рули, поэтому пришлось вернуть товар.",нет товара
44,"Ждала самокат три недели, но он так и не пришел. Продавец сказал, что он уже в пути, но деньги вернули только через спор. Очень разочарована.",нет товара
45,"Пинетки просто чудесные! Дочка их очень любит и они идеально подходят по размеру. Качество отличное, ткань приятная на ощупь.",товары для детей
46,"Пинетки очень некачественные. На макушке видны стыки, да и вообще они выглядят как сделаны из дешевой ткани. Очень разочарована.",товары для детей
47,"Пинетки так и не пришли, хотя заказ оформила еще месяц назад. Деньги вернули, но процесс доставки был очень долгим и неудобным.",товары для детей
48,"У пинеток очень длинные подошвы, которые постоянно царапают пол. Цвет тоже совсем другой, чем на фото. Очень неудобно.",товары для детей
49,"Посылка так и не пришла, хотя деньги вернули. Упаковка была слабой и коробка раздавилась в пути. Очень расстроена.",нет товара
50,Боди очень красивое и подошло отлично по размеру. Дочка была довольна!,товары для детей
51,"Боди оказалось слишком маленьким для моей дочки, ткань очень тонкая и быстро протиралась.",товары для детей
52,"Боди не пришло, трек не отслеживался и деньги не вернулись до сих пор.",товары для детей
53,"Полоска боди была видна на животике дочки, выглядит некрасиво.",товары для детей
54,"Посылка пришла быстро, но боди оказался в коробке вместе с другими товарами и я его не заметила.",нет товара
55,"Эти ползунки идеально подошли моему маленькому сыну! Он их очень любит и всегда хочет носить их. Качество отличное, ткань мягкая и удобная.",товары для детей
56,Ползунки очень плохого качества. Ткань быстро порвалась и сыну они не подходят по размеру. Очень разочарован покупкой.,товары для детей
57,"Ползунки не пришли до сих пор, хотя уже прошло почти два месяца. Деньги не вернули и продавец не отвечает на сообщения.",товары для детей
58,"Нитки торчат со всех сторон и есть несколько пятен на ткани. Ползунки выглядят не так, как на фото, но не могу сказать что это именно они.",нет товара
59,"Доставка заняла больше месяца, но товар так и не пришел. Продавец отказался вернуть деньги, хотя я уже написал много сообщений.",нет товара
60,"Комбинезон для моей дочери просто идеальный! Он очень красивый и качественный, как на фото. Дочка очень довольна и постоянно просит надеть его снова и снова.",товары для детей
61,"Купила комбинезон для сына, но когда он его надел, выяснилось, что он слишком маленький. Пришлось вернуть его обратно продавцу. Качество материала оставляет желать лучшего – он растягивается при первой же возможности.",товары для детей
62,"Купила комбинезон для своего ребенка месяц назад, но он до сих пор не пришел. Постоянно открывала споры с продавцом о том, когда же получу свой товар. Наконец, продавец вернул деньги через неделю после того, как я открыла последний спор.",товары для детей
63,"На комбинезоне видны неровные швы и даже где-то видна внутренняя сторона ткани. Очень сильно отличается от того, что было на фотографии. Очень разочарована.",товары для детей
64,"Купила комбинезон для ребенка, но он так и не пришел. Ждала его целый месяц, а когда написала продавцу, он сказал, что посылка потерялась. Наконец, деньги вернули, но процесс доставки был очень долгим.",нет товара
65,"Стульчик для кормления просто отличный! Мой ребенок любит сидеть на нем во время еды, он удобный и прочный. Хорошо, что он легко моется и занимает мало места. Рекомендую всем родителям!",товары для детей
66,"Стульчик для кормления оказался совсем не таким, как на фото. Ткань очень дешевая и быстро потускнела. Кроме того, он не соответствует заявленному размеру, хотя заказывала XL, а на рост ребенка оказался слишком маленьким. Качество оставляет желать лучшего.",товары для детей
67,"Заказала стульчик для кормления, но доставка заняла целых три недели вместо обещанных пяти. Деньги вернули быстро, но сам процесс оставил неудовлетворенный вкус. Не рекомендую этого продавца.",товары для детей
68,"Стульчик для кормления пришел без одного из углов. Это очень разочаровало, потому что он не был упакован должным образом. Несмотря на то, что сам стульчик выглядит хорошо, есть проблемы с упаковкой.",товары для детей
69,"Получил коробку с заказом, но она была повреждена и содержимое было испорчено. Деньги вернули, но процесс доставки и упаковки вызвал много вопросов. Нет нужного товара.",нет товара
70,"Манеж просто отличный! Дочка очень любит играть в нём, разные элементы привлекают её внимание.",товары для детей
71,"Манеж оставил очень многое желать лучшего. Он постоянно ломается и детали выпадают, хотя по качеству должен быть прочным.",товары для детей
72,Не могу получить свой манеж уже две недели. Деньги пока не вернули и спор еще не решен.,товары для детей
73,Манеж очень скрипит и издает странные звуки при использовании. Качество действительно оставляет желать лучшего.,нет товара
74,"Доставили не ту упаковку, вместо манежа пришла коробка с игрушками. Обратилась в службу поддержки, но ответа до сих пор нет.",нет товара
75,"Эта погремушка просто замечательная! Моя дочка в восторге от нее, она постоянно ее держит в руках и смеется. Качество отличное, звуки громкие и яркая расцветка привлекает внимание ребенка.",товары для детей
76,"Погремушка оказалась очень дешевой и некачественной. Никаких звуков из нее не слышно, даже когда сильно встряхиваешь. Дочке она не понравилась, она постоянно падает и ломается.",товары для детей
77,"Погремушка так и не пришла, хотя я уже месяц жду ее. Деньги не вернули, продавец отправил несуществующий номер трека. Очень разочарован!",товары для детей
78,"Погремушка пришла со складчиной и отсутствием горловины. У моей дочки нет возможности ее надеть, так как она слишком большая. Ужасное качество!",нет товара
79,"Погремушка пришла в отличном состоянии, но доставка заняла больше месяца. Я бы оставила положительный отзыв, если бы не эта долгая ожидание.",нет товара
80,"Бутылочка для кормления просто замечательная! Она удобная и легко моется. Моему ребенку она очень понравилась, и он радуется каждому кормлению.",товары для детей
81,Бутылочка для кормления оказалась очень дешевой и ее качество оставляет желать лучшего. После нескольких использований начало рваться.,товары для детей
82,"Бутылочка для кормления пришла намного позже, чем обещали. Возврат денег был осуществлен быстро, но доставка оставила много вопросов.",товары для детей
83,"Бутылька для кормления оказалась слишком короткой, на рост 160 см не подошла совсем. Ткань на ней тоже не очень качественная.",товары для детей
84,"Посылка пришла не очень быстро, но упаковка была хорошей. Бутылочка для кормления не была упомянута.",нет товара
85,"Ураа я столько ждала ) Слюнявчик очень тёплая, брала XL на русском наверно 52 или 54 точно. Заказывайте не пожелеете ✨",товары для детей
86,"Слюнявчик пришла в москву около месяца. Кофта прикольная, хороша села на размер S, 42, но не включается. Ехала в москву около месяца и теперь я не могу его использовать.",товары для детей
87,"Слюнявчик не пришла, средства не возвращены!!! Ужасное обслуживание!!! Посылка не пришла, продавец не отвечает.",товары для детей
88,"Слюнявчик пришла быстро. Ткань приятная к телу, но на кофте множество пятен, по моему жирных. Попытаемся отстирать. Размерный ряд не соответствует заявленному. Маломерка, хотя длина рукавов хороша.",товары для детей
89,"Слюнявчик очень долго дошла, больше месяца. Деньги не вернули и никаких ответов от продавца. Ужасная доставка!",нет товара
90,"Развивающий коврик просто отличный! Дочка с удовольствием играет на нём каждый день, развивает мелкую моторику и память. Качество отличное, никаких дефектов не заметила.",товары для детей
91,"Развивающий коврик очень плохого качества. Несколько раз видела, как детки играют на нём и сразу видны разрывы и вылезшие нитки. Очень расстроена покупкой.",товары для детей
92,"Развивающий коврик пришел намного позже, чем обещали. Деньги вернули, но время ожидания было ужасным. Спасибо продавцу за возврат.",товары для детей
93,"Коврик рваный и есть несколько нитей, которые вылезли. Нет никаких упоминаний о том, что это коврик для развития, только физическое описание дефекта.",нет товара
94,"Пакет с ковриком пришел разорванным. Деньги вернули, но товар не прибыл. Очень расстроена этой ситуацией.",нет товара
95,"Эти ходунки идеально подходят для моей дочери! Она с удовольствием их использует, и они действительно помогают ей развивать моторику. Очень довольны!",товары для детей
