,text
0,"Заказали 14.10.2017 , получили 25.10.2017 
На мой размер 42, широкий как мешок. Надо было все таки размер  S заказать. 
По поводу качества хороший пуховик. 
Мех натуральный , съемный. 
Буду продавать ."
1,"футболка хорошего качества,но футболка не как для девушек и женщин,а как на мужчину. она очень свободная. на свой М, заказала Л. теперь не знаю что делать,ибо она мне велика, даже моему папе она полезет."
2,Все отлично!!!
3,"Рисунок не очень чёткий, а ткань прозрачная, видно нижнее бельё"
4,"плохо!!!Низ рваный..деньги не вернули!Открыла спор,но его почему то закрыли"
5,"обычная майка с ужасным запахом, есть косяки на белой надписи как краска"
6,"Все как на фото, и цвет и форма."
7,"Но рост 180 по колено,качество хорошее,доставка быстрая"
8,Не подошло по размеру. Ткань тоже не понравилась
9,"очень крутой топ,заказала 11.11 пришел 28.11 еще и курьер принес"
10,"брак,очень растроенна"
11,криво пошита ткань. большой размер.
12,"Отвратительное качество материала. Продавец обещает хлопок, а пришла голая синтетика. Сильный запах. "
13,"Качество очень даже неплохое, что хотела, синтетика немного похожа на замшу, Но, размер просто капелюшчный, на 44 размер XXL еле, еле подошёл. Я заказала 3xL, а прислали 2xl, открыла спор, никак не решили проблему. Очень обидно."
14,"Товар не получила, деньги не вернули!"
15,"Супер!!! Очень красивая блузка, качество отличное, смотрится замечательно. Принёс курьер домой)))"
16,"Качество хорошее, большой вырез ссади"
17,"Товар так и не пришел. Заказала 6 июля, сейчас конец сентября, но ни слуху ни духу. Открыла спор и деньги вернули, но из минусов - оооочень долгое ожидание, которое так ни к чему и не привело и трек не отслеживался."
18,ужасная юбка. один бок намного короче другого. не заказывайте такой товар.
19,"Это вторая, обе S, но разница видна. И пришлось взять в руки иголку, так как были косяки. Но они очень удобны и комфортные для работы."
20,"Доставка 2 месяца до Смоленска. Ткань голая синтетика. Пуговицы еле держатся. На параметры ОГ 91, ОТ 68, плечи 40 размер М в самый раз."
21,"заказала размер L,чтобы было свободно(сама ношу S).По факту штаны на наш размер S,очень тугая резинка, кофта на наш размер M.Про ткань скажу только, что такое даже иногда носить вредно на теле,сплошная синтетика("
22,"Отличные штаны,  очень тёплые. Доставка 3 недели. На объем бедер 104 см отлично подошёл размер XXL ."
23,"Цвет черный а не темно синий , обидно. Шапка хорошая."
24,блузка очень хорошего качества. доставка меньше месяца. всем довольна.
25,"Качество ткани хорошее.В блузке есть 1 большой минус не симетричны сделаны складки .Должны быть по центру ,а они с боку т.е.брак.Продовец по общению хороший.По размеру идеально."
26,"Я думала, что свитер будет более толстым , а на самом деле он тонкий. Свитер приятный, мягкий, но с ним явно что-то не так, он выглядит так, будто его растянули . Продавец положил подарочек и ароматизаторы с запахом роз"
27,"ткань очень тонкая,платье смотрится совсем по-другому"
28,"На 2 размера меньше пришел , плохо прошит , полоски стерлись на следующий день , синтетик и не теплый"
29,заказ не пришёл! Деньги не вернули
30,"Футболка классная! Маловата немного, берите на размер больше! Шла около месяца "
31,"Понравилось,чуток в длину великовата (рост 155) цвет крутой, очень модный в этом сезоне."
32,"красивый только цвет. фактура тон
кая, хоть и мягкая, и тёплая. фурнитура дешевая: шнурок, бегунок молнии. качество швов  ужасное, на самом видном месте торчат нитки"
33,"заказала размер s, платье оказалось очень велико, придётся ушивать, материал синтетика, пришло очень быстро за 13 дней"
34,"Прекрасная туника. Качество на высшем уровне,продавец очень общительный.Идет размер в размер. Я довольна покупкой,советую и товар и этого продавца"
35,Wery Good
36,"Юбка пришла с задержками но пришла ,очень хорошая,на рост 145 самое то но подтяжки свободно"
37,видела бы в магазине - не купила бы... качество отстой
38,Слишком тонкие 
39,отличное качество товаров
40,"Просвечивает и короткая, хотя на фото она не такая прозрачная"
41,"Плохо прошиты швы, в этих местах материал собирается"
42,"Тёплые, цвет соответствует картинке. По размеру подошли. Всё отлично."
43,"заказ шёл ну очень долго, да еще и как нарочно они коротки мне. вцелом осталась не довольна. заказывала М(мой рост 168, об 87) у кого ножки длинные можно L заказать"
44,"пришла за 23 дня.качество прекрасное.ткань похожа на плотный стрейч, на осень прекрасно. кружево мягкое."
45,джинсы пришли с пятнами
46,"ткань довольно тонкая, но я брала для косплея, так что норм. размер S на мои 91-66-97 довольно свободно висит, на рост ~170 по длине великовато"
47,"была маленькая дырочка, и полноразмерная"
48,"материал плохой, просвечает и одна сентетика"
49,все супер! доставка месяц) спасибо продавцу))
50,"Очень милая и приятная на ощупь, пришла очень быстро"
51,"Качество нормальное. Но сильно маломерят. Заказала М, а она в лучшем случае ХS. "
52,"Очень милые носочки, качество не плохое"
53,"мало того, что заказ отправили не туда. так еще и деньги не возвращают"
54,"Заказ шел 2 недели. Думала, что качество будет получше, да еще и дырка на штанах. Вообщем не очень понравились."
55,не пришли!!! спор ничего не дал! не берите к этого продавца ничего.
56,"Заказывала М на 165 рос 60 кг,  но было мол мерка не влезла. качество отличное"
57,Самый долгий заказ на Алиэкспресс.
58,платье велико в бедрах. хоть и размер с. быстрая доставка. смотрится не очень. вырез ворота ужасный.
59,Трусы не пришли
60,"много торчащих ниток,внутри шов на шортах не ровный,и где лиф ажур вообще неровный"
61,Супер-пупер! Пришло за 17 дней по бесплатной доставке !!! Очень понравилось как смотрится 
62,"это прям ужас, не поняла восторженных отзывов, мне носить не хочется, тряпка! везде нитки, швы никакие."
63,"Ткань тонкая, размер L идёт на М "
64,"платье не подходит по описанию очень плохо,теперь что делать незнаю!больше не одну вещь тут не закажу,!"
65,"колготки очень короткие, на пост 162 не подошли совсем! стрелка не очень ровная и толстая. не советую здесь покупать."
66,"Качество не очень понравилось, синтетика и тонкая очень. И с размером не угадала- большая мне."
67,"товар пришел быстро. но без толку.
 вещь являет собой просто вырезанную тряпочку с одними лишь боковыми швами. ни горловина, ни низ, ни пройма даже не оверложены!
убожество!!!"
68,"Так ,что то не очень.Одно радует рукова  нормальные.А вот длина убки выше колен,а не до колена.И МНЕ КАЖЕТСЯ, ОНО ПОЛЕНЯЕТ ПОСЛЕ СТИРКИ."
69,Прекрасное платье за свою цену! На рост 168 и 44 р-о М-ка села идеально.Длина оказалась до пола.Из минусов - синтетическая ткань юбки при активных танцах начинает электризоваться)))
70,Качество ужас...
71,"терпеливо ждала 4 месяца, но ничего так и не пришло"
72,"на 48 размер,  объем груди 96см., xxxl велико."
73,"Заказывала 3 розовые и 2 светло-розовые ,в итоге пришли 5 одинаковых  шапок !!!"
74,Все хорошо но она просвечиваеться более летний вариант
75,"очень хорошая кофта хотя это скорее идёт как туника, заказ пришел быстро, заказала 11.11 получила 30.11"
76,Пришло с браком
77,"Шло в Москву очень долго, доставка хреновая. Открыла спор, вроде деньги вернули. Но долго продлевали защиту несколько раз. Лучше не продлевайте - нет смысла ждать. Продавец вроде общительный. "
78,"Красивый бордовый цвет, хорошая форма.Даже на моих маленьких параметрах груди смотрится хорошо (79-62-92),достаточно свободна. Доставка- недели две до Мск.Очень довольна!Рекомендую."
79,"качество хорошее, швы ровные, приятная ткань, не синтетика"
80,С размером ошиблась. На российский 50 52 точно меньше надо брать чем 5 xl. Немного мешковато сел. А так вещь понравилась
81,товар не пришел. и не отслеживался. деньги не вернули.
82,"Качество отличное ,доставка до Башкирии 3 недели"
83,"Прекрасные шорты! Отличное качество, сидят хорошо, быстрая доставка. Взяла s сели отлично не маломерят. Спасибо ! "
84,"Брюки хорошие, но написано в описании что они теплые, а по факту тонкие не утепленные. Очень разочарована этим обманом. Заказывать у этого продавца больше не буду."
85,"Цвет не тот что заказывали , рубашка с браком, швы разошлись и рваная. В остальном все устраивает "
86,все подошло . ткань не очень.
87,"Платье огромного размера, пошив не фабричный, нет никаких  лейблов, края не обметаны, сама ткань не плохая,тяжёлая, тянется, возможно будут катышки, заказом осталась недовольна, за эти деньги на А
ли можно купить вещь лучше."
88,"Всем рекомендую,классный свитер"
89,Отличная удобная кофточка
90,"Х/б носочки,хорошее качество,пришли вовремя,дочь очень довольна."
91,"Ожидала другого от этого платья ,материал очень тонкий .Осталась не довольна покупкой ."
92,Очень маленькая. Размерная таблица не соответствует действительности. На ОГ 86см брала М.
93,"Заказываю во второй раз. Качество так же на высоте, размер M подходит на бедра 93 см. Кружево тонкое и швы под одеждой не заметны. Спасибо большое!"
94,Продавец прислал не тот свитер!! Я очень расстроена!!!
95,Плохое качества это платье даже 300 руб не стоит (((
96,"Долго ждала посылку. Оказались велики, хоть и выглядят как колготки, но сваливаются при ходьбе "
97,Жутко просвечивает. И вверх  и низ. Заказывала розовое. Фатин желтый. Я разочарована. Носить не буду.
98,"Товар доставили курьером на дом, костюм хороший, но на рост 170 брюки короткие. Вес 54 кг- размер М подошёл "
99,"рисунок на вещи не совпадает, рукава широкие"
100,"Доставили очень быстро.  Качество отличное, выглядит маленьким, но хорошо тянется, по весу тяжелый, мягкий. На размер 46-48 взяла XL, подошёл. Рукава нормальные, не короткие. Очень теплый свитер."
101,"Синтетика сплошная, мало, брала размер L на рост 158, грудь 90, талия 70, бедра 98. Обтянуто как любительскую колбасу. Жаль деньги, буду как то расшивать, но синтетику не очень хочется носить..."
102,Отлично! 
103,"доставка быстрая, соответствует описанию и картинке. на свой 44 размер брала м. платье короткое, резинка туговатая, но на одно плечо сидит хорошо. оценку снижают за ткань. не приятная, скользкая ..."
104,заказ шел долго. супер эффекта не нашла. стрелки пошли после первой носки! таких денег не стоят однозначно.
105,"Топ короткий. Очень короткий. Почитала отзывы, специально взяла на размер больше, но напрасно. Так что имейте в виду."
106,"туника пришла без размерная, рукава короткие с ужасным запахом"
107,"Не пришли,спор длился недели 2-3.."
108,"Платье на фото бежевого цвета, в реальности оно пудрового, почти розового цвета. В принципе, платье бомба. Удовлетворил и размер и материал. Но цвет не то, что на картинке. Печально."
109,"Хорошая водолазка, но очень тонкая, меня сильно обтянула! на параметры 93-60  хотелось бы на размер больше!"
110,"Товар не пришел. Деньги вернули. Но продавец хороший и милый. Просто, может быть, мне не повезло."
111,"Товар так и не пришёл. Вместо блузки прислали резиновых опарышей (!!!) ржали долго) правда продавец обещал отправить другим заказом, но пока глухо. За опарвшей отдельное спасибо."
112,"Трусы не плохие ,но  две шт. из пяти не соответствуют заказанным (замена расцветки на худшию),одни из них большего размера,мне велики ,остальные на о.б. 98 сели хорошо."
113,Не по размеру и плохо пошито
114,"На мой рост(157см)не подошел,слишком короткие.Сшито очень плохо.Лосины не стоят таких цен"
115,"До Хабаровского края дошла за месяц, трек отслеживался, качество отличное, очень понравилась, правда электризуется, подошел размер XXL   на рос.50"
116,"Отличные трусики , буду заказывать еще. На размер 46 брала XL. Доставка быстрая, трек отслеживался."
117,Спасибо все подошло
118,наверно хорошие а так не получили
119,качество на троечку
120,Жаль，товар так и не получила.Открыла спор，вернули деньги.Потерялся наверное на просторах нашей страны.
121,"Заказ шел 2 месяца. Размер подошел (мой 46-48 заказала XL). Верхние карманы оказались фальшивыми, непонятно, зачем городить молнию было, тем более она не ровно вшита. Нижние карманы маленькие."
122,хорошая теплая кофта. все как в описании
123,"Не стоит заплаченных денег((( ткань плохая, полоска чёрная на самом видном месте"
124,мало( xxxl подошел только на 42 размер(
125,Товар не пришёл вернули деньги
126,"Материал как у мед.халата...просвечивает, выглядит дешево. Размер не соответствует. Подклад где-то есть, а где-то нет... торчат нитки...900р это не стоит.  Я разочарована..."
127,С размером не угадал. А так всё как на картинке. Спасибо продавцу. Рекомендую!
128,Не подошёл размер 
129,три месяца жду не получила блузку. жалко конечно
130,"От кофточки ожидала большего..судя по отзывам. оказалась велика, цвет не соответствует фото. Не очень приятный запах, тут же отправила в стирку."
131,продавец отправил товар на другой адрес!! обман
132,"не ахти качество...доставка ужасная , пришлось потратить день , что бы найти ячейку куда бросила курьерская служба CDEK это пальто"
133,"кофточка хорошенькая,правда на 40_42 надо было на размер меньше брать"
134,"на рост 163 и 44р брала L.По размеру вроде нормально,но талия высоко,платье очень короткое,особенно полклад.Буду сама переделывать.Так материал мягкий,цвет как заявлен.Доставка быстрая.Платье на очень маленький рост не выше 150"
135,Размер не соответствует. Заказали 4XL по факту оказался на 50 размер максимум.
136,Отличная рубашка. Отличное качество.
137,как на картинке!
138,Размер куртки не соответствует вашей линейки размеров
139,"Юбка классная,из плотного стрейча,смотрится супер,доставка три недели."
140,"Состав 90% Полиамид 10% Эластан, даже ластовица, швы прошиты небольшиии шовчиками и проклеены клеем."
141,Платье просто великолепное. Качество супер. Закажу в другом цвете ещё.
142,"качество средне..на картинке яркий ,а пришел не яркий цвет рукавов((("
143,"Товар не пришел, деньги вернули "
144,"свитер тонкий,но качество хорошее"
145,материал на фото матовый похож на хлопок а на самом деле блестит и структура резины
146,цвет совсем не такой как был заказан
147,заказ прислали на другой конец города. зачем продавцу адрес дается???
148,"Ткань хорошая, но модель какая-то несуразная. Спина пошита как мужская рубашка, ни о какой приталиности речи не идет. Наоборот очень широкая, как для горба. Не буду носить."
149,Прекрасная блузка. По размеру подошло. Пришла быстро.
150,"Юбка не плохая, но очень сильно маломерит.  Брала XL российский ношу L или похудею, или отдам дочке (предварительно ушив))))
Доставка быстрая. Трек отслеживался."
151,"Очень классная, мне понравилось, материал мягкий, буду заказывать еще"
152,Товар пришёл с зелёными пятнами!
153,"На 46 размер взяла L , все хорошо, только вот рукав можно было бы длиннее сделать. А так в принципе не плохо."
154,хорошая куртка. красивый цвет
155,"подошло очень хорошо! у меня 90-76-92, размер М брала, качество неплохое, закажу ещё черный!"
156,"Really nice love them all with logo and nice sturdy quality,i will buy more."
157,"Очень-очень довольна!!! Отличный пошив и удачная модель! Присутствует запах, но надеюсь выветрится. Спасибо продавцу и удачных продаж!!! Рекомендую!!!"
158,"Доставка быстрая,но размер не соответствует,XXL не налез даже на 48.Качество хорошее. Жаль,что не подошла."
159,"курьер принес домой, все хорошо, но в талии большевато"
160,"заказ пришёл через 55 дней, ещё и с пятном еле еле отстирали ставлю 2"
161,"Отличная юбка! Качественный принт, приятная ткань (сильно тянется). Размер подошел (на 48 размер брала XL). Спасибо продавцу. Собираюсь заказывать еще такую, но в другой расцветке "
162,Юбка выглядит очень дёшево. Тянется плохо. Ткань как будто дубовая и топорщится некрасиво. Она скорее на размер 42-44
163,"Кофта маломерит. На свои параметры по таблице размеров заказала L- оказалась маловата, по факту соответствует M. За это снимаю звезды"
164,"Кофта не подошла по размеру,качество ткани просто ужасное."
165,юбка пришла быстро. на размер 42-44 оказалась узкой резинка.
166,"Заказ пришёл за 2,5 недели. Трек отслеживался. Упаковоно все очень хорошо. В подарок положили резинку для волос. Спасибо большое продавцу"
167,"Не получила заказ, продавец вернул деньги"
168,"послали по другому адресу,  пришлось ставить на спор. недовольна продавцом!"
169,"Качество хорошие, но размер L оказался маловат."
170,Спасибо большое за быстрату. Красивый цвет
171,"куртка очень странная. по бокам нашиты подушки , которые здорово прибавляют фигуре объем. но теплая. качество хорошее"
172,джинсы сильно воняют... на рост 165 размер 27 очень короткие по длине.. продавец обещал скидку сделать если ещё закажу и я поверила заказала еще маме...а он обманул...скидки не было.. и вторые джинсы не айс...
173,не знаю в каком месте это синий. сфоткала со вспышкой и без. на мой взгляд это черный не насыщенный. размер xl  думаю максимум на 50р русский
174,"заказ пришёл за 2 недели. все по размеру.. НО после первой носки верхний слой слез, теперь в мусор или под штаны.. очень жаль.."
175,ни кофты ни денег только просьба не открывать спор и подождать четыре месяца прошло!!!! совести нет совсем!!!!
176,"Товар не пришёл, продавец отметил как доставлен, спор на возврат денег был открыт 02.11.17, деньги ещё не вернули"
177,"Очень много ниток. Ткань приятная,в общем соответствует цена качеству."
178,"ладно бы просто в талии большие были, с ремнем нормально, но там образуется пузырь на месте живота, не знаю,что и делать"
179,"Кофта пришла быстро. Ткань приятная к телу. Но на кофте множество пятен, по моему жирных. Попытаемся отстирать. Размерный ряд не соответствует заявленному. Маломерка, хотя длина рукавов хороша."
180,"туника хорошего качества, но был брак (шов неровный и сборил)"
181,на рост 170 штаны короткие
182,"доставка очень быстро 16 08
 заказали 30 08 уже получили."
183,"Майку не получила, деньги вернули."
184,"кофта пришла ооочень маленького размера , т .е вообще не соответствует размеру я разачерованна."
185,"очень тоненький. цвет не такой как на фото, намного темнее. но за такую цену 565 руб. нормально"
186,"куртка очень тонкая, на осень не пойдет, пуха очень мало и просвечевает через ткань, цвет белый не берите. Летом в ней только ходить"
187,куртка маломерит  по сетке не проходит
188,"За такие деньги она оправдала себя.  Брала L на свой размер M  и не прргадала, ибо можно было бы взять еще побольше."
189,ужасная синтетика с торчащими нитками
190,"Размерная сетка не соответствует, заказывала 80D на русский 70D - оказался дико мал. Качество не самое лучшее, чистая синтетика."
191,цвета не яркие как на фото
192,"Качество отличное, швы ровные, запаха нет и петель тоже нет, но это не критично. Продавцу спасибо!"
193,"Платье просто супер!Очень понравилось,качество пошива на отлично.На ОГ 106 И ОБ 112 впритык.Длина чуть ниже колена при росте 164 см.Платье отслеживалось хорошо.Купила за 1047 рублей.Продавец молодец"
194,"Доставка в г. Томск 16 дней.
Юбочка выполнена качественно, материал мягкий. Но не подошла, так как заказали по размеру, а описания размера не читали. Будьте внимательны!
Во стольном все понравилось, Продавцу спасибо."
195,Вещь только на маленькую грудь. Никакой второй размер туда не поместится и ничего не держит. Может служить только в качестве накладки для тех у кого на теле минимум.
196,"Пипец! Заказал xl, а пришёл хз знает какой, я думаю 42если не меньше! Жесть!!!!!"
197,"Пижама не доехала, застряла в Китае, по истечении 2.5 месяцев поняла что её потеряли. Деньги вернули быстро в течении недели"
198,"Размер только на ог/от/об 89/73/96, плечо 37, рост 164. Тогда как на фото продавца. На размер более получатся в обтяг, она конечно тянется, но это просто ужасно."
199,If you order in the dimensional table set one size in my parameters. And came one size smaller. Jacket small to me.
200,"Маленькие, размер не соответствует"
201,"Платье пришло с зацепкой спереди, на видном месте((( очень жаль, носить не смогу"
202,Пришли уже в полинявшем состоянии...носить невозможно
203,"колготки очень понравились, но пришли с браком.... пришлось открыть спор"
204,"ткань - синтетика среднего качества, размерная сетка не соответствует действительности. Нитки не торчат. не пахнет. В общем за такие деньги более менее.. рекомендую брать на размер побольше."
205,"Хорошие, плотные носки, прекрасно подошли на размер 39-40. Ребенок доволен. Рекомендую. Спасибо."
206,"все пришло супер,быстро,качество класс,рекомендую"
207,"Размер не соответсвует ,немного не тот цвет,рассчитан для девочек лет 10-12"
208,Ужасная синтетика! Расстроилась. Размер наверно 48-50. Своих денег не стоит вообще! Хотела даже спор открыть
209,"Товар заказывала в апреле,до августа так и не пришёл,деньги продавец вернуть отказался.Не рекомендую"
210,материал не такой плотный и теплый.но мягкий.  для летних вечеров самый раз
211,"К сожалению, платье  не соответствует фотографии и описанию, на которой представлено платье. Размер «S»  очень сильно велик в талии, в плечах. Рукава сильно короткие. Длина платье, не то, что мини, а минимини."
212,размер маленький на 2 раза больше надо заказать
213,"хорошая качественная рубашка, по размеру в целом подошла (немого только расходится в груди, но на мне все рубашки так сидят), доставка в Тулу 3 недели. Запаха нет."
214,к сожалению товар я не получила
215,"Супер,  очень нравится !"
216,Отличная рубашка! На 50-52 надо 4xl
217,"Товар понравился полностью соответствует описанию.  К телу приятные, пришли за две недели."
218,товар не пришел. деньги вернули. продовец очень общительный
219,"Приятная,мягкая.Полоски яркие. На 42-44  М-ка хорошо и даже рукава не коротки."
220,"Свой заказ я так и не получила, но спасибо за возврат денег."
221,"Заказала 2 кофты, красную и розовую. Розовая оказалась больше и цвет не как на фото. Ядерно розовый. Как у барби. "
222,заказали ххл но он подошёл на 40- 42 на вес 51 рост 161 шел месяцев отслеживается качество хорошее с хлопком плотный не прилипает грязь
223,отличная футболка! качество хорошее. быстрая доставка. спасибо продавцу!
224,"УЖАСНАЯ КОФТА. ЖДАЛА ОЧЕНЬ ДОЛГО,ТАК МНЕ ЕЩЕ И ДЕНЬГИ НЕ ВЕРНУЛИ!! кофта мала,и качество как половая тряпка"
225,"Толстовка так себе, молния металическая дешёвая, желтая, не как на фото, от этого вид хуже.сшита неплохо, но верх блестящая синтетика, быстро покрывающаяся каташками(пошла на дачу("
226,Пришло совсем не то что заказывали
227,"Посылка не дошла, деньги вернули. "
228,"Размер 3XL  на 46-48. На меня мало. Не соответствует фото. В реальности спереди подол короче сантиметров на 10, рукава без отворотов, ткань полусинтетика."
229,"Размер не соответствует, очень маленький, на подростка"
230,"Заказала пришёл другой цвет, плохого качества, не такое как на фотографии!!!Первый раз заказывала и не удачно "
231,"Хорошая, тёплая толстовка! Размер на худенького подростка), моему ребёнку 13 лет, село в самый раз. Спасибо за быструю доставку и подарочек, очень приятно!"
232,"качество пуховика не плохое, но смутили пятна не понятного происхождения"
233,"по итогу,заказ не получила.Открыла спор,который борианули со всеми моими претензиями.Почта России похерила или с номером отслеживания какая то беда..."
234,"Яркое, красивое, классное. Рекомендую."
235,"Размер не соответствует, сильно маломерит. Заказала S, а нужно было М, а может даже  L. Написала продавцу, даже не ответил."
236,вместо шорт продавец прислал какую-то хрень
237,"Кофта не на долгую носку.После стирки качество ооочень испортилось! 
А так симпатичная, хорошо смотрится!"
238,очень  лёгкая но не просвечивает  к телу  приятно  смотрится супер размер  соответствует действительности на 42 брала  s
239,заказ не пришел. деньги вернули через 4 месяца.
240,"товар не пришел 2 месяца ждала, на сообщение не отвечают, деньги не вернули"
241,"ужасный товар , не кому не советую, даже дома стыдно одевать"
242,"На фото более толстая вязка, на самом деле тонкий трикотаж. Разочарована. Покупать не советую."
243,Все хорошо
244,"Доставка быстрая и курьером до двери, что очень порадовало, материал хороший натуральный "
245,"Товар пришёл быстро,продавец хороший. по качеству товар не очень хороший,после первой носки стал скатываться!это очень расстроило меня.цена приличная, а качество плохое!"
246,пришли с браком
