,text,target
0,"Тарелка просто отличная! Качественная посуда, которая радует глаз и удобна в использовании. Заказывала на подарок, и уверена, что она понравится получателю.",посуда
1,"Купила тарелку для ежедневного использования, но к сожалению, качество оставляет желать лучшего. На дне есть сколы, которые со временем будут расти. Очень разочарована покупкой.",посуда
2,"Заказал тарелку и получил ее вовремя, но пришлось написать заявление на возврат из-за ошибки в адресе. Деньги вернули быстро, но процесс доставки мог быть лучше.",посуда
3,"На тарелке заметны трещины, хотя на сайте было написано, что она новая. Товар не соответствует описанию, и я не могу использовать его.",посуда
4,"Последний раз заказывал товары на Алиэкспресс и столкнулся с проблемой. Тарелка пришла в упаковке без повреждений, но доставка заняла больше времени, чем ожидалось.",нет товара
5,Миска просто идеальная для моих котят! Они очень любят играть в ней и даже едят из нее.,посуда
6,"Миска постоянно ломается. На второй день использования на дне образовалась трещина, хотя я использовала ее аккуратно.",посуда
7,"Миска не пришла уже неделю. Заказал ее еще в начале месяца, а ответов от продавца нет. Деньги не вернули.",посуда
8,"На миске после стирки образовались катушки, хотя она была сухая перед стиркой.",посуда
9,"Доставили коробку без миски. Обратился в службу поддержки, но они пока не ответили.",нет товара
10,"Чашка просто супер! Очень удобная и стильная, как и на фото. Заказ принимали на связи, доставка была быстрой.",посуда
11,"Чашка пришла со сколовыми пятнами и трещинами. При первом же использовании она лопнула. Продавец на связи, но никаких компенсаций.",посуда
12,"Чашка долго не дошла, пришла через месяц после заказа. Продавец не отвечал на вопросы и не помог с возвратом.",посуда
13,"На чашке видны сколы и трещины, покрытие облазит. Чашка не соответствует описанию.",посуда
14,"Доставка заняла больше месяца, хотя заказывала 11 числа. Упаковка была повреждена, но товара внутри не было.",нет товара
15,"Кружка очень понравилась! Качество отличное, доставка была быстрая. Очень довольна покупкой!",посуда
16,"Кружка пришла с дефектом - трещина по краю. Качество очень плохое, не рекомендую этот продавца.",посуда
17,"Не получила кружку, хотя трек-номер указывался. Продавец долго доказывал, что отправил, но кружки нет. Вернули деньги, но очень разочарована.",посуда
18,"Кружка пришла со сколом на краю и трещиной на дне. Но качество ткани неплохое, просто физический дефект.",посуда
19,"Заказ оформила месяц назад, но кружки до сих пор не пришли. Доставка затянулась, очень разочарована.",нет товара
20,"Стакан просто идеальный! Очень praktičeskij и удобный для питья, особенно на работе. Заказ пришел быстро, качество отличное.",посуда
21,"Стакан оставил меня разочарованным. Качество тонкое, ломается при первой же попытке наполнить водой. Очень разочарован покупкой.",посуда
22,"Стакан не пришел вовремя, деньги вернули только через неделю. Очень разочарован такой медленной доставкой.",посуда
23,"На стакане видны трещины, которые не заметны на фото. Очень разочарован покупкой.",посуда
24,"Деньги вернули, но заказ не пришел. Доставка просто ужасная, не рекомендую этого продавца.",нет товара
25,"Бокал просто идеальный, форма и размер идеально подходят для моих винных вечеринок. Доставка была немного задержана, но это не повлияло на качество продукта.",посуда
26,"Бокал оказался очень плохого качества, тонкий и легко ломается. Цвет не соответствует картинкам на сайте, а самое главное – он постоянно трещит при наполнении напитком.",посуда
27,"Доставка заняла почти месяц, что очень разочаровало. Когда я получила заказ, бокал оказался совсем не тем, что ожидала, и даже не соответствует описанию на сайте.",посуда
28,"Бокал выглядит очень непрочный, тонкий и легко трескается. Ткань бокала имеет неприятный запах и не очень приятна к прикосновению. Но самое главное, что качество его изготовления оставляет желать лучшего.",посуда
29,"Доставка была очень медленной, заказ ждала больше месяца. Когда получила бокал, заметила, что упаковка была повреждена, и бокал оказался слегка испорчен.",нет товара
30,"Вилка удобная и прочная, хорошо держится на столе. Очень довольна покупкой!",посуда
31,Вилка пришла в плохом состоянии – кромка острая и может поранить. Качество очень плохое.,посуда
32,Вилка пришла через неделю после заказа. При этом доставка стоила дорого. Не стоит таких денег.,посуда
33,"На вилке есть скол, видимо, производственный брак. Цвет немного отличается от фото на сайте.",посуда
34,"Посылка пришла быстро, но коробка повреждена. Вилка внутри оказалась целой, но упаковка вызывает вопросы.",нет товара
35,"Нож оказался очень удобным для кухни. Хорошо режет и не скользит на руках. Пришёл в отличном состоянии и очень быстро, всего за 3 дня.",посуда
36,"Нож пришел с ржавчиной и трещиной на лезвии. Качество просто плачевное. Никогда бы не купил такой товар, если бы не отзывы.",посуда
37,"Нож не пришёл до меня в течение месяца, хотя я ожидал его уже через неделю. Деньги я вернула только через две недели после того, как открыл спор.",посуда
38,"Нож для кухни оставил ощущение скола на лезвии после стирки. Не могу понять, как это возможно, ведь он должен быть из прочного материала.",посуда
39,"Получил коробку с ножом через неделю, но когда распаковал, внутри была только упаковочная пленка и бумага. Нет никакого ножа!",нет товара
40,"Кастрюля отличная, готовлю на ней уже неделю и все получается отлично.",посуда
41,"Кастрюля начала пригорать после нескольких использований, покрытие начало облазить.",посуда
42,"Кастрюля не пришла, но продавец деньги вернул и сообщил через месяц.",посуда
43,"На кастрюле образовалась трещина, когда я ее промывала.",посуда
44,"Посылка потерялась неделю, а потом пришла пустая коробка.",нет товара
45,Сковорода просто отличная! Хорошо держит тепло и равномерно нагревается. Купила именно такую модель и довольна покупкой.,посуда
46,"Приобрела сковороду, но качество оставляет желать лучшего. Покрытие начала облазить уже через неделю использования, а цена-то была не маленькая.",посуда
47,"Заказала сковороду и ждала месяц, пока она мне придет. Доставка задерживается постоянно, а когда пришла, то оказалось, что размер не тот, который указан.",посуда
48,"Посуда пришла в отличном состоянии, но увидев её, поняла, что она не совсем то, что нужно. Сковорода слегка треснула при перевозке.",посуда
49,"Заказала сковороду, но она так и не пришла. Доставка пропала, так и не сообщили о причинах задержки.",нет товара
50,"Форма для выпечки просто отличная! Выпекала в ней кекс и получился просто великолепный вкус! Очень удобная форма, легко разливается и готовится быстро. Заказ сделала 12 июля, а доставили уже 15 числа, что меня очень порадовало.",посуда
51,"Форма для выпечки оставляет желать лучшего. Покрытие начала облазить после нескольких использований, а сама форма стала скользить на столе при использовании. Приходится постоянно удерживать её рукой, чтобы не упасть. Качество крайне плохое!",посуда
52,"Форма для выпечки так и не пришла, хотя я ждала её уже два месяца. Деньги также не вернулись, и спор открыть не дают. Очень разочарована этой компанией.",нет товара
53,"На форме для выпечки появились сколы и трещины уже после первого использования. Качество просто удручающее, даже при такой низкой цене.",посуда
54,"Форма для выпечки пришла в отличном состоянии, но доставка заняла больше месяца, что было очень неудобно. Деньги были списаны сразу, но товар пришел только через месяц.",нет товара
55,Чайник просто отличный! Способствует быстрой заварке чая и легко моется. Очень удобно!,посуда
56,"Чайник пришел в плохом состоянии, ручка отклеилась и корпус треснул. Качество просто ужасное.",посуда
57,Не могу найти мой заказ уже неделю. Деньги не вернули и никаких ответов от продавца. Очень разочарован.,нет товара
58,"На чайнике видны сколы и трещины, покрытие начало отваливаться. Доставка была замедленной.",посуда
59,Посылка не дошла до меня и осталась в другом городе. Никто не вернул деньги и не отправил товар повторно. Такое отношение к клиентам недопустимо.,нет товара
60,Блюдце идеальное! Толстое дно и края не скользкие. Очень удобно использовать.,посуда
61,Блюдце очень разочаровало. Оно постоянно скользит с стола и треснуло после первого использования.,посуда
62,"Блюдце так и не пришло, хотя заказ оформили давно. Вернули деньги, но время ожидания было очень долгим.",посуда
63,"На блюдце видны царапины и трещины. Края не ровные, видно, что его не качественно сделали.",посуда
64,"Посылка дошла за две недели, но сама упаковка была слабой и блюдце немного повреждено. Доставка заняла слишком много времени.",нет товара
65,"Купила салатник для кормления ребенка, и он просто идеальный! Материал приятный к пище, легко моется и не царапается.",посуда
66,"Салатник очень плохого качества, покрытие сразу начала облазить. Приходилось постоянно мыть и кормить ребенка с грязным.",посуда
67,"Посылка дошла быстро, но салатник оказался совсем другой модели. Доставили с ошибкой, продавец ничего не сделал.",посуда
68,"На салатнике видны сколы и трещины, хотя на фотографии выглядело идеально. Продавец даже не ответил на сообщения.",посуда
69,"Посылка пришла быстро, но упаковка сломана. Ничего не было повреждено, просто упаковка не защитила товар.",нет товара
70,"Пиала просто идеальна! Тянет по форме, но не просвечивает, очень удобная и практичная.",посуда
71,Пиала пришла с треском и небольшим сколом на краю. Качество очень подводит.,посуда
72,"Пиала не пришла по указанному сроку доставки. Пришлось открыть спор, так как товар не был получен.",посуда
73,"Пиала имеет небольшие сколы и трещины, видимые даже при близком рассмотрении.",посуда
74,Посылка не дошла до меня из-за ошибки в адресе. Доставка очень разочаровывает.,нет товара
75,"Супница просто идеальная! Очень удобная и красивая, пришла быстро и в отличном состоянии. Рекомендую!",посуда
76,"Супница очень некачественная. Края пригорают, а внутреннее покрытие начало отслаиваться уже после нескольких использований. Очень разочарован.",посуда
77,"Супница так и не пришла, хотя я ждала уже три недели. Деньги вернули, но это не компенсирует потерянное время.",нет товара
78,"На супнице все пригорает, покрытие начало облезать. Но самое главное, доставка заняла почти месяц, что очень разочаровало.",посуда
79,"Супница оказалась очень короткой, не подходила по размеру. Качество материала не очень, но это не главное.",нет товара
80,"Блюдо для сервировки просто отличное! Качество высокое, дизайн оригинальный. Рекомендую!",посуда
81,Блюдо для сервировки оставляет желать лучшего. Невозможно использовать из-за брака на поверхности.,посуда
82,"Заказ не пришел уже неделю, деньги не вернули и ни одной отслеживания. Продавец вообще не отвечает.",нет товара
83,На блюде для сервировки заметна трещина по центру. Упаковка была сломана при доставке.,посуда
84,"Посылка дошла в целости и сохранности, но доставка заняла больше месяца. Очень разочарован.",нет товара
85,"Эта масленка отличная! Материал прочный, а форма удобная для хранения масла. Очень довольна покупкой!",посуда
86,Масленка пришла в плохом состоянии – дно треснуло сразу же после открытия. Качество просто ужасное!,посуда
87,"Заказал масленку и получил ее только через неделю, хотя обещали раньше. Доставка была медленной и неудобной.",посуда
88,"На дне масленки видны сколы и трещины, а также она немного течёт. Надеюсь, это не повлияет на качество масла.",посуда
89,"Получил коробку с масленкой, но внутри всего лишь пустая коробка без самого товара. Доставка была быстрой, но товар пропал.",нет товара
90,"Солонка просто замечательная! Теряет соль очень медленно, легко моется и выглядит отлично на столе. Очень довольна покупкой!",посуда
91,"Приобрела эту солонку для кухни, но она совсем не соответствует описанию. Качество крошки ужасное, постоянно разваливается. Пришлось вернуть товар.",посуда
92,"Солонка не пришла по указанному адресу. Доставка была очень долгой, трек не отслеживался почти неделю. Пришлось открыть спор и получить назад деньги.",посуда
93,"На солонке заметен скол. Там видны трещины, которые были полностью скрыты фотографиями на сайте. Продавец обещал исправить ситуацию, но до сих пор ничего не сделал.",посуда
94,Получила заказ только через две недели после покупки. Доставка очень долгая и неудобная. Упаковка тоже оставляет желать лучшего.,нет товара
95,"Перечница просто отличная! Стойкость к цвету превосходная, а форма удобная для использования. Теперь мои блюда выглядят еще аппетитнее.",посуда
96,"Перечница пришла в отличном состоянии, но качество материала оставляет желать лучшего. Несмотря на то что я заказывал стеклянную перечницу, пришло пластиковое изделие с рваным краем.",посуда
97,"Перечница пришла слишком поздно, хотя я ожидала получить её к Новому году. Доставка заняла больше месяца, а когда я получила её, оказалось, что размер не соответствует указанному.",посуда
98,"На перечнице заметен скол и она немного треснула при транспортировке. Хорошо, что я сразу обратился в службу поддержки.",посуда
99,"Доставка перечницы заняла почти две недели, хотя я ожидала получить её через три дня после заказа. Пакет для перечницы был слегка поврежден, но сам товар не поврежден.",нет товара
100,"Салфетница удобная и вместительная. Очень понравилось, что она легко моется.",посуда
101,"Салфетница плохого качества, сразу разбухла после первой стирки. Полностью разочарован покупкой.",посуда
102,"Салфетница не пришла, деньги не вернули. Продавец обещал доставку в течение 5 дней, но прошло уже месяц.",нет товара
103,"На салфетнице заметны сколы и трещины. Скорее всего, она использовалась ранее.",посуда
104,"Заказ оформила неделю назад, но до сих пор не получил трек номера. Деньги не вернули.",нет товара
105,"Поднос отличный, удобно использую в кухне. Качество хорошее, никаких проблем не возникло.",посуда
106,"Поднос постоянно трещит и ломается, качество просто ужасное. В следующий раз буду покупать другой товар.",посуда
107,"Не пришла посылка, деньги не вернули. Очень разочарован покупкой, надеюсь решат эту проблему.",нет товара
108,"Покрытие подноса облезло после первой же стирки, а также видны трещины. Ужасное качество!",посуда
109,"Заказ не пришел, но деньги вернули быстро. Упаковка была сломана, когда получал посылку.",нет товара
110,"Отличная рюмка! Качество просто супер, очень красивая и praktičeskaya для любого стола. Уже заказываю еще!",посуда
111,"Рюмка очень некачественная, пластик тонкий и ломается даже при легком ударе. Купила для гостей, но теперь боюсь использовать.",посуда
112,Рюмка так и не пришла. Открыла спор и вернули деньги. Может быть потерялась в процессе доставки.,посуда
113,"На рюмке видны сколы и трещины, хотя выглядела хорошо на фотографии. Купила в надежде на хорошее качество.",посуда
114,"Получила посылку через неделю, но рюмка была упакована плохо и сломалась при транспортировке. Доставка могла бы быть лучше.",нет товара
115,"Стопка тарелок просто отличная! Удобные ручки, не скользят и хорошо держат наполнение. Доставка была немного задержана, но это не помешало мне оценить качество товара.",посуда
116,"Стопка тарелок пришла с дефектами – одна из них треснула сразу после открытия упаковки. Качество просто ужасное, не рекомендую покупать этот товар.",посуда
117,"Не пришли стопка тарелок!!! Деньги не вернули! Я даже не успела открыть спор, так как товар не прибыл.",нет товара
118,"На одной из тарелок виден скол, другой покрытие облезло. В целом товар не соответствует описанию.",посуда
119,"Доставка была очень медленной, а упаковка сломалась в процессе транспортировки. Никаких проблем с самим товаром нет, но сервис оставил желать лучшего.",нет товара
120,Фужер просто чудесный! Удобно держится в руке и выглядит стильно.,посуда
121,"Фужер постоянно ломается, хотя использовал только пару раз. Качество очень плохое.",посуда
122,"Фужер не пришел уже две недели, деньги не вернули. Очень разочарован!",посуда
123,На фужере видны царапины и трещины. Купила другой.,посуда
124,,нет товара
125,"Графин отличный! Качество хорошее, красивый дизайн и praktičeskij размер.",посуда
126,"Графин пришел с дефектом, края треснули и покраснели после первого использования. Очень разочарован!",посуда
127,"Графин не пришел по срокам, хотя обещали доставку за 2 дня. Потерял деньги и время на этот заказ!",нет товара
128,"На графине видны следы старения, покрытие облазит. Купила его на замену старому, но он хуже.",посуда
129,"Не получил графин, хотя заказал его еще две недели назад. Доставка просто ужасная, деньги на ветер.",нет товара
130,"Кувшин отличный, удобно пользоваться. Вода не пригорает и легко моется.",посуда
131,"Кувшин пришел в плохом состоянии. Покрытие треснуло и на дне образовалась щель, хотя заявлено было, что он в отличном состоянии.",посуда
132,"Кувшин получил только через месяц после покупки. Деньги вернули только через неделю спора, хотя обещали раньше.",посуда
133,"На кувшине видны сколы и трещины, хотя на фото на сайте все выглядит идеально. Качество очень плохое.",посуда
134,"Не вздумайте тут покупать. Доставка была задержана на две недели, и товар так и не пришел. Продавец предложил отправить еще раз, но это только затягивает процесс.",нет товара
135,"Сотейник просто отличный! Удобный размер, отлично держит форму и равномерно прогревается. Тоже использую его для приготовления различных блюд, он справляется на все сто!",посуда
136,"Приобрел сотейник, но качество оставляет желать лучшего. Тонкое покрытие постоянно скрепляется и трескается при использовании на среднем огне. Полностью разочарован покупкой.",посуда
137,"Сотейник не пришел вовремя, хотя заказ был сделан месяц назад. Деньги вернули только через неделю после открытия спора, что было раздражительным процессом.",посуда
138,"На сотейнике заметны сколы и трещины, хотя в описании продавца это не указывалось. Надеюсь, это случайность, но качество явно оставляет желать лучшего.",посуда
139,"Посылка не дошла до меня вовремя, хотя я оплатил заказ еще две недели назад. Деньги вернули после того, как я открыл спор с продавцом.",нет товара
140,"Ковш просто отличный! Всегда хотела такой большой и вместительный, чтобы готовить большие порции. Очень удобно использовать!",посуда
141,"Ковш оставил меня разочарованным. Ткань очень рваная, а внутреннее покрытие просто отвалилось после нескольких использований. Полностью не соответствует описанию.",посуда
142,"Заказал ковш, но его не доставили до дома, хотя платеж успешно списали. Деньги вернули только через неделю после того, как я открыл спор.",посуда
143,"Пригляделся внимательнее и заметил, что ковш имеет несколько сколов на внутренней стороне и небольшие трещины на краях. Ничего не говорит о качестве товара.",посуда
144,"Заказал ковш, но деньги вернули сразу же после оплаты. Связаться с продавцом никак не удалось, так что просто потерял время.",нет товара
145,"Дуршлаг просто отличный! Он легко моется, не скользит и хорошо держит воду. Спасибо продавцу!",посуда
146,"Дуршлаг очень плохого качества. Металл тонкий, ржавеет уже после первой стирки. Не рекомендую.",посуда
147,"Дуршлаг не пришел и деньги не вернули. Очень расстроена, не могу понять, что происходит.",нет товара
148,На дуршлаге заметны сколы и царапины. Он выглядит использованным и не соответствует описанию.,посуда
149,"Получила коробку с товарами, но там вместо дуршлага лежал пустой контейнер. Очень расстроена.",нет товара
150,"Сито отличное, хорошо держит воду и не скользит на столе. Очень удобно использовать!",посуда
151,"Купила сито для готовки, но качество ткани очень плохое, оно быстро порвалось после первой же стирки.",посуда
152,"Заказ пришел через неделю, что называется, медленно. А когда я попыталась вернуть товар, мне отказали без объяснений. Очень разочарована этим процессом.",посуда
153,"Сито имеет вид ржавых частей, которые начинают отваливаться после нескольких использований. Никак не могу понять, как это может считаться качественной посудой.",посуда
154,"Посылка пришла в коробке с поврежденной упаковкой, хотя на сайте было написано, что она будет доставлена в целости и сохранности. К сожалению, не было возможности проверить товар сразу после получения.",нет товара
155,"Половник отличный, удобный для использования и моется легко. Все как на фото, качество на высоте!",посуда
156,"Половник оставил меня разочарованным. Края рваные, а в целом качество отвратительное. Приходится использовать другое.",посуда
