,text,target
0,"Телефон работает отлично, очень быстрая камера и удобный интерфейс. Приобрел его недавно и уже не могу представить свою жизнь без него!",электроника
1,"Приобрел этот телефон недавно, но он постоянно вылетает из системы и зависает. Качество телефона очень разочаровывает.",электроника
2,"Приобрел телефон, но заказ не дошел до адресата и потерялся в процессе доставки. Продавец обещал вернуть деньги, но до сих пор не сделал это.",электроника
3,Телефон имеет небольшой скол на экране и зазор между корпусом и задней панелью. Эти дефекты заметны сразу после открытия упаковки.,электроника
4,"Отправили мне пакет вместо телефона. Доставили его в отличном состоянии, но когда я его вскрыл, там была только коробка от телефона, а сам устройства нет.",нет товара
5,"Смартфон работает отлично! Батарея держит весь день, камера поражает качеством снимков. Очень доволен покупкой.",электроника
6,"Купил смартфон, но качество его оставляет желать лучшего. Звук наушников очень слабый, а батарея быстро разряжается.",электроника
7,"Долгая доставка смартфона вызывает разочарование. Пришлось ждать больше недели, хотя обещали неделю.",электроника
8,"Ткань чистая синтетика, топ пришел ужасно мятый и воняяяял... Сшит неаккуратно, особенно бреьтели. Но за такую цену...",нет товара
9,"Деньги не вернули из-за ошибки в адресе, товар так и не пришел. Ожидал доставку уже неделю!",нет товара
10,"Планшет работает отлично, быстро загружает приложения и смотреть фильмы на нем одно удовольствие.",электроника
11,"Планшет постоянно зависает и вылетает из системы. Качество просто ужасное, жду возврата денег.",электроника
12,"Планшет не пришел, деньги не вернули и доставка просрочена на неделю. Очень разочарован.",электроника
13,"Планшет тонкий и легкий, но экран слегка треснутый и видны катышки на ткани. За такую цену можно найти лучше.",электроника
14,"Получил коробку без товара, просто пустая коробка и квитанция на возврат. Очень разочарован покупкой.",нет товара
15,"Эти беспроводные наушники просто отличные! Звук чистый, батарея держит долго. Очень удобно использовать во время тренировок.",электроника
16,"Наушники просто катастрофа. Звук постоянно стучит, а батарея разряжается через несколько часов. Очень разочарован этим покупкой.",электроника
17,"Наушники не пришли, хотя заказ сделала неделю назад. Деньги не вернули и продавец не отвечает на мои сообщения. Очень расстроена!",электроника
18,"Швы на наушниках все перепутаны, одни внутри другие снаружи. Похоже, что их просто склеили вместе.",электроника
19,"Доставка заняла больше двух недель, хотя обещали до Москвы за три дня. Упаковка была сломана, но товар самим не поврежден.",нет товара
20,"Колонка работает замечательно, звук чистый и ясный. Особенно радует, что она поддерживает Bluetooth. Установил ее недавно и уже наслаждаюсь качественным аудио.",электроника
21,"Купил колонку, но качество звука оставляет желать лучшего. Батарея быстро разряжается, а когда включаешь Bluetooth, то постоянно слышны помехи. Очень разочарован покупкой.",электроника
22,"Колонка была обещана курьером через неделю, но вместо этого я ждал ее два месяца. После этого я открыл спор и получил свои деньги обратно. Ужасная служба доставки!",нет товара
23,"Колонка издает неприятный запах сразу после вскрытия упаковки. Ткань, из которой она сделана, очень тонкая и просвечивает. Буду искать другой вариант.",электроника
24,"Ничего не пришло из заказа. Вернули деньги, но было очень разочаровано тем, что заказ не был выполнен. Думаю, что это лживый продавец.",нет товара
25,"Этот телевизор просто чудо! Качество изображения просто великолепное, а функции поражают воображение. Очень рад покупкой!",электроника
26,"Купил этот телевизор, но качество изображения просто ужасное. Звук также слабый и гудит. Полностью разочарован покупкой.",электроника
27,"Заказал телевизор, но он так и не пришел. Попробовал разные способы решения проблемы, но продавец отказывается возвращать деньги. Очень разочарован.",электроника
28,"Посмотрел телевизор, но заметил несколько дырочек на экране. Нитки торчат и это очень раздражает. В целом, качество неудовлетворительное.",нет товара
29,"Посылка пришла позже, чем обещали. Упаковка была повреждена, когда я получил товар. Обслуживание клиентов просто замечательно!",нет товара
30,"Отличный монитор для работы. Качество изображения просто великолепное, углы обзора отличные. Рекомендую!",электроника
31,Монитор постоянно мерцает и погасает. Качество изображения просто ужасное. Очень разочарован покупкой.,электроника
32,"Заказал монитор неделю назад, а до сих пор не пришел. Деньги вернули только через месяц. Не рекомендую.",электроника
33,"На мониторе появились горизонтальные полоски, как будто он старый. Жаль, что качество так плохое.",электроника
34,"Монитор пришел в коробке с поврежденной упаковкой. Доставка заняла неделю, а до этого еще две недели ждал заказ.",нет товара
35,"Фотоаппарат работает идеально! Качество фотографий поражает, особенно при слабом освещении. Очень доволен покупкой!",электроника
