,text,target
0,"На визитнице заметно пачканье и царапины. Ткань не очень качественная. Жалею, что купила.",украшения и аксессуары
1,Подушка для беременных идеально подошла по размеру и удобству. Я чувствую себя намного лучше во время беременности и сплю хорошо.,текстиль
2,На рост 170 и размер S рукав немного коротковат. В остальном платье сидит как на модели. Качество изделия хорошее. Платье тёплое.,одежда
3,"Чайник замечательный, быстро нагревает воду и удобно использовать. Доставка была быстрой, все отлично!",бытовая техника
4,шняга,нет товара
5,"Босоножки просто чудесные! Такая легкость и комфорта, как будто я не ношу ничего! Упаковка была аккуратная, и доставка заняла всего две недели. Спасибо продавцу!",обувь
6,"Наушники постоянно отключаются от телефона, хотя раньше такого не было. Качество оставляет желать лучшего.",электроника
7,"Плед просто супер! Качество отличное, тепло и мягкий. На 180 см роста подходит идеально, длина до колен.",текстиль
8,Лоферы пришли в плохом состоянии – пятка отклеилась и они не подходят по размеру. Качество оставляет желать лучшего.,обувь
9,Портьеры просто чудесные! Очень красивые и качественные. Установила их самостоятельно и никаких проблем не возникло.,текстиль
10,"Сорочка замечательная. Очень аккуратно сшита, никаких перекосов в крое. Брала самый большой размер для использования в качестве чехла под длинное шифоновое платье. Очень довольна заказом. Рекомендую к покупке.",одежда
11,"Заказал джойстик, но он до сих пор не пришел. Я уже открыл спор и не могу понять, когда мне его присылут.",электроника
12,"Браслет просто супер! Дизайн соответствует описанию, качество отличное, надежно сидит на запястье.",украшения и аксессуары
13,"товар к сожалению не получила,продавец вернул деньги.",нет товара
14,"Купила эту кепку, но качество оставляет желать лучшего. Воротник плохо держит форму и постоянно провисает. Очень разочарована покупкой.",украшения и аксессуары
15,"Эспадрилии просто супер! Очень красивые и удобные. Держат форму отлично, несмотря на то, что я часто ношу их на прогулки.",обувь
16,Ужасное качество.  Размер прислали меньше,одежда
17,"В Краснодар шла около месяца. 
Размер xs подошел отлично.
Все кнопки рабочие, цвет хороший. 
Юбкой довольна!",одежда
18,блузка очень хорошего качества. доставка меньше месяца. всем довольна.,одежда
19,"Описание товара не совсем точное, бельё просто огромное и смотрится не очень красиво.",одежда
20,"Шапка пришла в плохом состоянии. Края обгорели, а ткань стала серой. Весьма разочарован покупкой. Качество отвратительное.",украшения и аксессуары
21,"Пришел мобиль на кроватку, но качество оставляет желать лучшего. Ткань колется и есть несколько нитей, которые торчат.",товары для детей
22," По размеру, но очень  быстро образовались катушки. ",одежда
23,"Постельное белье ужасное, полиняло после первой стирки. Качество просто ужасное.",текстиль
24,Заказала с пришла очень большая ,нет товара
25,Кошелек очень дешево сделан. Кожа потрескалась и выглядит очень дешево.,украшения и аксессуары
