,text,target
0,"Купила постельное белье и осталась очень довольна! Белье красивое, без запаха, все соответствует описанию. Очень ждала и довольна. Спасибо!",текстиль
1,Постельное белье оказалось ужасным. Ткань жесткая и совсем не впитывает воду. Очень разочаровалась.,текстиль
2,"Постельное белье не пришло и денег не вернули. Открыла спор, но так жалко, ведь я очень люблю эти наборы.",текстиль
3,"Постельное белье постирала много раз, но все равно очень плохо пахло. Ужасное качество.",текстиль
4,"Постельное белье пришло в срок, но доставка заняла очень много времени. В остальном все в порядке.",нет товара
5,Простыня оказалась очень удобной для сна. Она хорошо впитывает влагу и не скатывается во время сна.,текстиль
6,"Приобрела эту простыню, но она оказалась очень тонкой и совсем не теплая. Я была разочарована и решила вернуть её.",текстиль
7,"Ждала доставку больше месяца и только потом получила заказ. Деньги вернули через несколько недель после того, как я открыла спор.",нет товара
8,Постельное белье оказалось не соответствующим описанию. Оно было сильно потускневшим после первой стирки.,текстиль
9,Доставка просто заставила меня разозлиться. Упаковка сломалась и простыня была повреждена.,нет товара
10,"Пододеяльник просто отличный! Хлопок мягкий и приятный на ощупь, хорошо держит форму после стирки. Всем довольна!",текстиль
11,"Пододеяльник не соответствует описанию. Качество ткани плохое, сразу заметно рваные места и пятна. Очень разочарована.",текстиль
12,"Пододеяльник так и не прибыл, хотя заказал месяц назад. Деньги вернули только после долгого спора. Не рекомендую этого продавца.",нет товара
13,Постельное белье не впитывает воду и быстро мнется. Ткань очень жесткая и неудобная. Купила только из-за скидки.,текстиль
14,"Посылка пришла быстро, но упаковка была повреждена. Ничего не могу сказать о товаре, так как его и так не было.",нет товара
15,"Наволочка отличного качества! Стильная и удобная, отлично села по размеру. Спасибо продавцу!",текстиль
16,"Наволочка оставляет желать лучшего. Ткань тонкая и прозрачная, видны волосы. Очень разочарован!",текстиль
17,"Наволочка не пришла, деньги не вернули. Заказ сделала месяц назад, а ответа нет. Очень разочарованная!",нет товара
18,"Постельное белье в целом неплохое, но на одной из наволочек видно небольшую линию на ткани.",текстиль
19,"Доставка была быстрой, но коробка слегка повреждена, внутри все в порядке. Продавец оперативно ответил на вопрос.",нет товара
20,Подушка просто замечательная! Очень мягкая и удобная. Сон стал намного лучше после ее покупки.,текстиль
21,"Подушка выглядит красиво, но ткань очень сухая и не впитывает влагу. Я разочарован покупкой.",текстиль
22,"Ждала подушку полтора месяца, а она так и не пришла. Деньги так и не вернули!",нет товара
23,Постельное белье не соответствует заявленному качеству. Ткань тонкая и рвется.,текстиль
24,"Отправили коробку без подушки. Доставщики так и не вернули деньги за товар, который так и не пришел.",нет товара
25,"Плед просто супер! Качество отличное, тепло и мягкий. На 180 см роста подходит идеально, длина до колен.",текстиль
26,"Приобрела плед, но качество оставляет желать лучшего. Ткань рвется в нескольких местах и не впитывает тепло.",текстиль
27,"Приобрела плед, но его не доставили в срок. Пришлось ждать почти месяц, хотя обещали неделю. Вернули деньги.",текстиль
28,"Постельное белье ужасное, жесткое и совсем не впитывает тепло. Лучше бы не заказывала.",текстиль
29,"Ждала плед около месяца, а когда он пришел, оказалось, что его вообще не было в заказе. Деньги вернули.",нет товара
30,"Покрывало просто великолепное! Качество отличное, ткань мягкая и приятная на ощупь. Пришло быстро, всего за 3 недели.",текстиль
31,"Покрывало оказалось очень тонким и пропускает холод. Пришлось перешивать края, чтобы закрыть дырочки. Очень разочарована покупкой.",текстиль
32,"Покрывало пришло через месяц после заказа. Пришлось долго ждать, хотя обещали доставку за неделю. Очень разочарован.",текстиль
33,Покрывало не соответствует описанию на сайте. Ткань рваная и не впитывает влагу. Купила другое покрывало.,текстиль
34,Покрывало пришло в слегка загрязненной упаковке. Доставка заняла почти месяц. В целом все в порядке.,нет товара
35,"Полотенце отличное, мягкое и впитывает воду отлично. Все как описано в описании.",текстиль
36,Полотенца пришли с пятнами на одном из них. Качество просто ужасное.,текстиль
37,"Заказал полотенца, ждал три месяца, когда они придут. Деньги вернули, но товар так и не пришел.",текстиль
38,"Пятно на штанине заметно, полотенце в целом нормальное, но есть небольшие дефекты.",текстиль
39,"Доставка заняла две недели, но сама коробка была слегка повреждена. Полотенца вроде в порядке.",текстиль
40,"Скатерть отличная! Цвет точно соответствует фотографии, материал мягкий и приятный к коже. Быстро доставили, спасибо!",текстиль
41,"Скатерть очень плохого качества, ткань рвется при первой стирке. Очень разочарован покупкой.",текстиль
42,"Скатерть не пришла уже неделю, звонила в службу поддержки, но никто не отвечает. Деньги не вернули.",текстиль
43,"Ткань скатерти ужасного качества, сильно шелушится и липнет к рукам после стирки. Всему семейству стало плохо от запаха.",нет товара
44,"Посылку ждал месяц, трек не отслеживался. Когда пришла, оказалась обычной белой тканью без принта, которую можно купить за копейки в любом магазине.",нет товара
45,"Тюль очень красивый и легкий, отлично подходит для летних занавесок. Установка прошла быстро и без проблем.",текстиль
46,"Тюль пришел в плохом качестве, видны разрывы и непрошитые места. Качество просто отвратительное.",текстиль
47,"Заказали тюль для занавесей, но его доставили в другой город. Продавец должен был знать мой адрес точно!",нет товара
48,"На тюле заметны непрошитые швы и дырочки, хотя продавец вернул деньги сразу же после обнаружения.",текстиль
49,"Тюль пришел через месяц после заказа. Доставка заняла много времени, но качество ткани оставляет желать лучшего.",нет товара
50,"Этот чехол на диван просто супер! Качество отличное, ткань мягкая и впитывает влагу хорошо. Диван выглядит как новый!",текстиль
51,"Чехол на диван оказался совсем не таким качественным, как на фото. Ткань очень села после стирки и сильно пахла пластиком. Очень разочарована!",текстиль
52,"Чехол на диван пришел очень долго, почти месяц ждал. Когда пришел, то оказалось, что размер маловат. Деньги не вернули и спор открыли.",нет товара
53,После стирки чехол на диван сильно сжался и потерял форму. Ткань стала жесткой и не впитывает воду. Очень разочарован.,текстиль
54,"Доставка чехола на диван была очень медленной, хотя обещали в течение недели. Упаковка была слабой и чехол немного повредился в пути.",нет товара
55,Наматрасник идеально подошел по размеру и хорошо вписался в интерьер спальни. Очень приятный на ощупь и не вызывает аллергии.,текстиль
56,"Наматрасник оказался слишком тонким и не обеспечивает достаточную поддержку. Несмотря на заявленные характеристики, он не соответствует ожиданиям.",текстиль
57,"Заказ пришел намного позже, чем обещали. Упаковка была слегка повреждена, но наматрасник сам в целости и сохранности. Продавец не ответил на мои вопросы.",нет товара
58,Наматрасник имеет видимые дырочки и рваные места. Качество явно ниже ожидаемого уровня.,текстиль
59,"Доставка заняла почти два месяца, хотя обещали неделю. Упаковка была идеальной, товар прибыл в отличном состоянии.",нет товара
60,"Коврик для ванной просто отличный! Материал мягкий и приятный на ощупь. Очень хорошо впитывает воду и не скользит даже после нескольких стирок. Доставка была немного задержана, но это не помешало мне оценить качество товара.",текстиль
61,"Купила коврик для ванной, но он оказался слишком маленьким для моей ванной комнаты. Материал не такой мягкий, как на фото, а очень жесткий. Я разочарована и не рекомендую этот товар.",текстиль
62,"Заказывала коврик для ванной уже месяц назад, но до сих пор его не получила. Доставка заняла больше месяца, хотя обещали всего неделю. Придется искать другой продавца.",текстиль
63,"Коврик для ванной выглядит хорошо на фото, но в реальности он рваный и не впитывает воду. Материал не качественный, жалею, что купила.",текстиль
64,"Доставили коробку с ковриком для ванной через месяц. Коробка была повреждена, а внутри ничего не было. Контактировали с продавцом несколько дней, но денег за товар так и не вернули.",нет товара
65,"Полотенце очень удобное и качественное. Ткань мягкая и быстро впитывает воду. Доставка была немного медленной, но все равно довольны покупкой.",текстиль
66,"Приобрела кухонное полотенце, но оно оказалось очень тонким и не впитывает воду. Даже после нескольких стирок осталось таким же мягким и безвкусным. Очень разочарована покупкой.",текстиль
67,"Полотенце соответствует описанию, но доставка заняла почти месяц. Я бы ожидала быстрее. После того как я обратился в службу поддержку, мне вернули деньги.",текстиль
68,"После стирки полотенце стало совсем село и осталось рваным. Даже не знаю, что делать. Очень надеюсь, что продавец сможет заменить товар.",нет товара
69,"Заказал полотенца и ждал их целый месяц. Доставка была очень медленной и дорогой. В итоге товар не прибыл, хотя деньги были списаны со счета.",нет товара
70,Прихватка отличная! Очень удобная и praktical. Отправили быстро и аккуратно.,текстиль
71,Прихватка очень плохого качества. Ткань рвется при первой же стирке и не впитывает влагу.,текстиль
72,"Прихватка не пришла, деньги вернули, но доставка заняла слишком много времени.",нет товара
73,Прихватка просвечивает и не соответствует описанию на сайте.,текстиль
74,"Не получила заказ, деньги вернули, но упаковка была сломана и коробка повреждена.",нет товара
75,Эти салфетки тканевые просто отличные! Очень удобно использовать их для чистки окон и других поверхностей. Они мягкие и хорошо впитывают грязь.,текстиль
76,"Приобрела несколько салфеток тканевых, но качество их оставляет желать лучшего. Несколько штук были порваны и имеют видимые нитки. Очень разочарована.",текстиль
77,"Заказала салфетки тканевые, но они так и не прибыли. Деньги не вернулись, а сроки доставки превышены на целый месяц. Очень разочарована.",нет товара
78,"Полученные салфетки тканевые немного просвечивают через ткань, хотя в описании было написано, что это не должно быть так. Качество оставляет желать лучшего.",текстиль
79,"Доставка была очень медленной, хотя обещали её сделать за неделю. Упаковка была повреждена, и салфетки оказались помятыми.",нет товара
80,Это замечательная дорожка на стол! Очень удобная и красивая. Пришла быстро и без повреждений.,текстиль
81,Дорожка на стол оказалась очень тонкой и неудобной для моего стола. Ткань рвется сразу после нескольких использований. Никогда больше не буду покупать здесь!,текстиль
82,"Заказала дорожку на стол, но она не пришла. Деньги вернули, но процесс возврата затянулся надолго. Продавец также не был вежливым.",текстиль
83,Посуда на столе стала намокать через дорожку. Ткань просачивается и мокрая вода протекает прямо на стол. Купила другую дорожку.,текстиль
84,"Посылка была отправлена вчера, но до сих пор ее нет. Доставка просто ужасная, надеюсь, они исправят ситуацию.",нет товара
85,Чехол на кресло просто супер! Очень удобно и эстетично выглядит в интерьере.,текстиль
86,Чехол на кресло оставляет желать лучшего. Ткань быстро потускнела и стала рваться.,текстиль
87,"Чехол на кресло не пришел до сих пор, уже больше месяца подождал. Деньги вернули только после многочисленных обращений.",нет товара
88,"Полотенца ужасные, жесткие и совсем не впитывают воду. Полагаю это тот самый чехол на кресло.",текстиль
89,"Доставка заняла больше месяца, хотя заказ был сделан месяц назад. Качество ужасное, лосины тонкие, просвечивают сильно!",нет товара
90,"Чехол на стул просто отличный! Очень мягкий и удобный, отлично справляется со своей задачей. Пришел в отличном состоянии, никаких повреждений.",текстиль
91,"Чехол на стул очень маленький для моего большого стула. Качество ткани тоже оставляет желать лучшего, она быстро начала скатываться. Очень разочарован покупкой.",текстиль
92,"Чехол на стул не пришел до меня уже два месяца! Я открыла спор, но денег так и не вернули. Продавец обещал, что отправит новый чехол, но ничего не происходит.",нет товара
93,"Постельное белье было в ужасном состоянии. Полотенца были слишком короткими, не могли полностью завернуться вокруг стула. Качество просто ужасное.",текстиль
94,"Пришла упаковка для стула, но внутри не было ни одного чехла. Доставка была выполнена в срок, но товар не соответствовал заказу.",нет товара
95,"Римская штора просто чудо! Качество отличное, ткань гладкая и приятная на ощупь. Все как на картинке и в описании. Очень довольны покупкой.",текстиль
96,"Римская штора оставила много вопросов. Ткань очень тонкая и не держит форму. На фото выглядит намного лучше, очень разочарованы покупкой.",текстиль
97,"Штора не пришла почти месяц, хотя заказала месяц назад. Продавец не вернул деньги и даже не объяснил, что произошло. Очень разочарован покупкой.",нет товара
98,"Ткань рваная и лохматая. При соприкосновении с глазами очень жжет. Купила римскую штору, но качество оставляет желать лучшего.",текстиль
99,"Ужасная упаковка. Штора пришла в плохом состоянии, коробка была повреждена. Деньги вернули только через несколько недель. Не рекомендую.",нет товара
100,"Портьеры очень красивые и отлично подходят для гостиной. Цвет точно такой же как на сайте, качество отличное.",текстиль
101,"Портьеры купил недавно, но они постоянно отвисают и выглядят дешево. Ткань рваная, видны нитки.",текстиль
102,"Портьеры не прибыли, деньги не вернули. Доставка задерживается уже неделю.",текстиль
103,Портрьеры имеют неровную поверхность и видны нитки торчащие. Ткань не очень плотная.,нет товара
104,"Доставили коробку, но внутри пустота. Не знаю что было бы в ней, но точно не портьеры.",нет товара
105,"Полотенце для рук просто замечательное! Сухое и удобное для использования. Пришло быстро, никаких проблем с доставкой.",текстиль
106,Полотенце для рук оставляет желать лучшего. Качество ткани оставляет желать лучшего – после первой стирки начали рваться нитки. Очень разочарован!,текстиль
107,"Получила заказ 3 дня назад. Полотенца пришли, но доставка заняла слишком много времени. Кроме того, упаковка была повреждена, и полотенца пришли слегка помятыми.",текстиль
108,"Полотенца быстро сохнут, но на ощупь они очень грубые и не впитывают воду. Полотенце для рук явно не соответствует заявленному качеству.",текстиль
109,"Доставка опоздала на неделю, хотя обещали до двух дней. Упаковка была повреждена, и полотенца пришли немного помятыми. Но сам товар не упоминается.",нет товара
110,"Полотенце для ног отлично подходит по размеру и качество просто замечательное. Удобное и тепленькое, в подарок еще купила второй комплект.",текстиль
111,"Приобрела полотенце для ног, но оно оказалось слишком маленьким. Качество тоже оставляет желать лучшего, на нем видны катушки после первой же стирки.",текстиль
112,"Заказал полотенце для ног, доставка заняла около двух недель, но это было заслуженно, так как качество товара оставило желать лучшего.",текстиль
113,"После стирки полотенце для ног сильно сжалось и теперь оно совсем не подходит по размеру. Качество ткани оставляет желать лучшего, оно совсем не впитывает воду.",текстиль
114,"Отличная быстрая доставка, но полотенце для ног оказалась не той модели, что была показана на сайте. Ждала доставку две недели, а оно оказалось совсем другого цвета.",нет товара
115,"Пляжное полотенце просто замечательное! Чудесное качество, мягкое и впитывает воду отлично. Доставка была немного задержана, но это не повлияло на моё мнение о товаре.",текстиль
116,"Пляжное полотенце просто ужасное. Пришло с пятнами и неприятным запахом. Качество крайне плохое, ткань впитывает воду плохо и просто скользит. Ничего не поделаешь, придется вернуть товар.",текстиль
117,"Посылка с пляжным полотенцем пришла где-то через две недели после заказа. Качество товара отличное, но доставка могла быть быстрее. Деньги не вернули, написали только в случае возврата товара, из России отправка будет стоить дорого.",нет товара
118,Полосатое полотенце пришло в слегка разорванном состоянии. Оно не впитывает воду и имеет неприятный запах. Никакого описания качества на сайте не было.,текстиль
119,"Посылка пришла в очень хорошем состоянии. Доставка была немного задержана, но это не повлияло на качество упаковки. Полотенце пришло аккуратно упакованное.",нет товара
120,"Гобелен просто чудесный! Качество отличное, цвета яркие и натуральные, даже после стирки он не потерял своей формы и цвета. Очень довольна покупкой!",текстиль
121,"Гобелен очень плохо сделан. В некоторых местах видны неровности шитья, а также есть несколько мест, где ткань неравномерно окрашена. Я бы не рекомендовал этот товар.",текстиль
122,"Заказал гобелен месяц назад, но до сих пор его нет. Доставка постоянно задерживается, и менеджеры не могут ничего сделать. Очень разочарован этим магазином.",нет товара
123,"На гобелене есть несколько мелких пятен и они не исчезают после стирки. Также заметно, что ткань немного теряет яркость.",текстиль
124,"Ожидал, что доставка займет неделю, но прошло уже две недели, а гобелен так и не пришел. Упаковка была повреждена, когда её доставили, и теперь я не уверен, что товар будет целым.",нет товара
125,"Флисовый плед просто супер! Очень теплый и мягкий, идеально подходит для зимних вечерей дома. Благодарю продавца!",текстиль
126,Флисовый плед оказался очень тонким и быстро потерял форму. Мой ребенок его не любит из-за этого. Продавец вернул деньги.,текстиль
127,"Ждала плед месяц и он так и не пришел. Продавец вернул деньги, но это было быстрее, чем я ожидала. Очень разочарована.",нет товара
128,"Постельное белье не соответствует описанию. Оказалось, что материя рваная и не впитывает воду. Продавец не ответил на мои вопросы.",текстиль
129,"Пакет для пледа был слишком маленьким, не вместил его полностью. Доставка заняла больше времени, чем обещали.",нет товара
130,Тонкая приятная ткань. Пояс не анатомически высоко.,текстиль
131,Эта машина времени просто ужасна! Материал тонкий и быстро потерял форму после первой стирки. Полотенце не соответствует описанию в каталоге!,текстиль
132,"Посылка не пришла, информации об отслеживании не было, открыла спор, вернули деньги.",нет товара
